	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200854042703	ダ	右	1300	晴	稍重	12:30	Eハ		2008-4-27	2	高知	4	(馬齢)		1	150	1	1-4	2050	4	1-4	330	4	1-5	140	1	4-5	520	8	1=>4	1360	6	1-4-5	850	2	1=>4=>5	3920	11.0	1,(3,7),(4,6),2,5	1374625	1,3-4,7,6,5,2	1-3,4,5-(6,7),2		
200854042704	ダ	右	1300	晴	稍重	13:00	D9		2008-4-27	2	高知	4	(馬齢)		6	220	2	1-6	110	1	1-6	100	2	4-6	220	4	1-4	100	1	6=>1	470	2	1-4-6	190	1	6=>1=>4	790	3.0	9,6,(1,7),8,(5,4),(2,3)	(9,6),1,7,(8,4),2,3,5	6,9,1-7,4,8,(2,3),5	6,1-9-(7,4)-8,2,3,5		
200854042705	ダ	右	1400	晴	稍重	13:30	D8		2008-4-27	2	高知	4	(馬齢)		4	110	1	4-9	120	1	4-9	110	1	2-4	230	4	2-9	310	6	4=>9	150	1	2-4-9	420	2	4=>9=>2	670	2.0	3,9,7-4,8,5,6,2,1	3,9-7-4,5,8,6,2,1	3,9-(7,4)-5,8,6,2,1	9,4,3-7-8,2,(6,5,1)		
200854042706	ダ	右	1300	晴	稍重	14:00	D7		2008-4-27	2	高知	4	(馬齢)		8	110	1	1-8	160	1	1-8	110	1	4-8	150	2	1-4	160	3	8=>1	220	1	1-4-8	140	1	8=>1=>4	330	1.0	8,(4,7),5,(1,6),3,2	8,(1,4),7-5,6,3,2	8,(1,4),7-5,6,3,2	8,1,4=5,7,(6,3),2		
200854042707	ダ	右	1300	晴	稍重	14:30	C3		2008-4-27	2	高知	4	(馬齢)		9	340	3	6-9	1420	4	6-9	660	7	3-9	200	2	3-6	730	9	9=>6	1810	8	3-6-9	1160	3	9=>6=>3	8470	26.0	6,9,2,5,3,8,(1,4),7	6,9,2,(3,5),8,(1,4),7	6,9,3,2,(1,5),(4,8),7	(6,9),3,(4,2),(1,7,5),8		
200854042708	ダ	右	1400	晴	稍重	15:05	C4　記者選抜		2008-4-27	2	高知	4	(馬齢)		6	240	1	4-6	2400	8	4-6	810	11	6-8	210	1	4-8	860	13	6=>4	4130	16	4-6-8	2160	7	6=>4=>8	20390	58.0	8,(4,9),1,(2,5,10),(3,6),7	(1,8)-(4,9),(3,2),(6,5),10,7	8,1-(4,9),(3,2),6,5,7,10	(4,8,6),1,(3,9),(5,7),2,10		
200854042709	ダ	右	1400	晴	稍重	15:40	C2		2008-4-27	2	高知	4	(馬齢)		2	1010	3	2-7	880	2	2-7	360	5	2-3	330	3	3-7	190	1	2=>7	2370	7	2-3-7	780	2	2=>7=>3	7650	23.0	1,(4,8),(7,9),(2,5),(6,3)	1,8,4-9,7,(2,3),5,6	1,(4,8),9,(7,3,6),2,5	2,7,(4,9,3),6,(1,8,5)		
200854050501	ダ	右	1300	雨	不良	11:30	C6		2008-5-5	3	高知	3	(馬齢)		2	1380	4	2-7	240	1	2-7	160	1	2-5	360	7	5-7	280	4	2=>7	1320	6	2-5-7	1580	6	2=>7=>5	12360	33.0	753426	7,5,3,(2,4)-6	(5,7),4,2,3-6	(5,7),2,4,3-6		
200854050502	ダ	右	1300	雨	不良	12:00	C5		2008-5-5	3	高知	3	(馬齢)		1	160	1	1-6	1030	5	1-6	250	3	1-7	110	1	6-7	250	3	1=>6	1160	5	1-6-7	460	2	1=>6=>7	2640	10.0	5,(1,4),7,(2,6),3	(1,5),(4,7),(2,6)-3	1,7,(2,4,5,6)-3	1,(4,5,7,6)-2,3		
200854050503	ダ	右	1300	雨	不良	12:30	C4		2008-5-5	3	高知	3	(馬齢)		7	310	2	7-8	2960	7	7-8	990	12	4-7	140	1	4-8	470	6	7=>8	2150	9	4-7-8	1540	5	7=>8=>4	9630	33.0	7,8,4,6,(3,5),1,2	7,8,4,6-3,5,1,2	7,8,4,6,3,(1,5)-2	7,(4,8),1,3,6,5-2		
200854050504	ダ	右	1300	雨	不良	13:00	D3		2008-5-5	3	高知	3	(馬齢)		7	190	1	4-7	200	1	4-7	110	1	2-7	180	3	2-4	170	2	7=>4	470	1	2-4-7	180	1	7=>4=>2	730	1.0	7,8,1,6,(3,5),4-2	7,(1,8),(5,3,4),6-2	7,8,(1,4),3,(6,2),5	7-4,2,(3,8),(1,6),5		
200854050505	ダ	右	1400	雨	不良	13:30	C3		2008-5-5	3	高知	3	(馬齢)		7	160	1	6-7	140	1	6-7	120	1	7-8	190	2	6-8	190	2	7=>6	350	1	6-7-8	250	1	7=>6=>8	770	1.0	2,7-(6,8),(3,4),5	2,7-(6,8),3,4,5	(2,7),6,8-3,4,5	7,(2,6),8,3,5,4		
200854051801	ダ	右	1300	曇	良	11:30	日登美裕結婚1年特別		2008-5-18	3	高知	6	(馬齢)		8	180	1	5-8	110	1	5-8	100	1	6-8	280	6	5-6	170	2	8=>5	290	2	5-6-8	220	1	8=>5=>6	670	2.0	1,8,5,7,4,(3,6),2	1-8,5-7,(4,6),3,2	1,8,5-7-6,(4,3)-2	8,5,1-7,(6,3),4,2		
200854051802	ダ	右	1300	曇	良	12:00	D4		2008-5-18	3	高知	6	(馬齢)		2	110	1	2-6	150	1	2-6	110	1	2-8	1,240	12	6-8	660	6	2=>6	180	1	2-6-8	2530	6	2=>6=>8	5900	15.0	1,(4,8),(5,6),2,(3,7)	1,(4,8)-2,(5,6),3,7	(4,8),(2,6),1-(3,5),7	2,8,(4,6)-(3,7)-5,1		
200854051803	ダ	右	1300	曇	良	12:30	C4		2008-5-18	3	高知	6	(馬齢)		6	280	2	5-6	150	1	5-6	100	1	4-6	730	11	4-5	730	11	6=>5	330	2	4-5-6	880	4	6=>5=>4	2700	11.0	2,5,6-4,3,7,1	2,5,6-4,3,(1,7)	2,5,6-4,(1,3),7	2,5,6,(4,7),3,1		
200854051804	ダ	右	1300	曇	良	13:00	C3		2008-5-18	3	高知	6	(馬齢)		5	120	1	5-8	210	1	5-8	110	1	5-7	380	5	7-8	420	6	5=>8	330	2	5-7-8	1550	7	5=>8=>7	2490	9.0	(1,2,5),6,(3,4),(7,8)	51264387	5-(1,6),4,8,(3,2),7	5-8,4,6,7-1,(3,2)		
200854051805	ダ	右	1400	曇	良	13:30	D3		2008-5-18	3	高知	6	(馬齢)		5	130	1	3-5	240	1	3-5	170	1	5-9	390	6	3-9	540	9	5=>3	230	1	3-5-9	750	3	5=>3=>9	1450	4.0	5,(7,8),(1,4,6),2-9,3	571482639	5,1,(4,7,3),2,6,9,8	5,(1,3),(4,9),2,6,7,8		
200854051806	ダ	右	1300	曇	良	14:00	D2		2008-5-18	3	高知	6	(馬齢)		8	300	2	3-8	570	3	3-8	290	3	6-8	250	2	3-6	390	6	8=>3	670	2	3-6-8	540	3	8=>3=>6	2100	5.0	3,8,2,(1,7),6,5-4	3,8,2,7,6,1,5-4	3,8,2,7,6-5,1-4	3,8,(1,6),(7,5),2-4		
200854051807	ダ	右	1300	曇	良	14:30	C6　記者選抜		2008-5-18	3	高知	6	(馬齢)		8	600	3	8-9	1160	5	8-9	570	7	8-10	510	5	9-10	840	9	8=>9	2180	9	8-9-10	2950	10	8=>9=>10	10010	29.0	4,8,9,(2,10),3,6,7-5,1	4,8,9,2,(3,10)-6,7-1,5	4,8,9,3,10,2,(6,7)-1,5	(8,9),3,4,10,7,6,2,1,5		
200854051808	ダ	右	1400	曇	良	15:05	委晋1才の誕生日特別		2008-5-18	3	高知	6	(馬齢)		9	880	6	7-9	2840	10	7-9	550	4	8-9	1,690	24	7-8	780	10	9=>7	15840	43	7-8-9	6990	21	9=>7=>8	132090	230.0	(2,7),(3,10),8,4,6,1,9,5	2,7,3,10,8,4,(1,6),9,5	(2,7),3,10,8,4,1,6,9,5	7,2,10,(1,3,8),9,(6,4),5		
200854060101	ダ	右	1300	晴	不良	11:30	D4		2008-6-1	4	高知	3	(馬齢)		5	160	1	3-5	100	1	3-5	120	1	2-5	290	6	2-3	330	7	5=>3	150	1	2-3-5	690	4	5=>3=>2	890	4.0	3,5,6,2,(1,4)	(3,5)-6-2,(1,4)	(3,5)=6-2,1,4	5,3=6,2-(1,4)		
200854060102	ダ	右	1300	晴	不良	12:00	D5		2008-6-1	4	高知	3	(馬齢)		3	310	2	1-3	420	2	1-3	250	2	3-7	380	4	1-7	390	5	3=>1	820	3	1-3-7	1400	4	3=>1=>7	3220	11.0	3,7,1,(5,6),(2,4)	3,1,(5,7),6,(2,4)	3,1,(5,7),(2,6),4	3,1,(5,7),6,4,2		
200854060103	ダ	右	1300	晴	不良	12:30	C5		2008-6-1	4	高知	3	(馬齢)		8	450	3	5-8	360	1	5-8	150	1	7-8	1,570	18	5-7	640	10	8=>5	630	2	5-7-8	1720	7	8=>5=>7	7700	26.0	5,1,7,(4,8),3,(2,6)	5,7,1,4,(2,8),3,6	5,7,4,(2,8),1,3,6	(5,8),7,4,1,3,2,6		
200854060104	ダ	右	1300	晴	不良	13:00	D3		2008-6-1	4	高知	3	(馬齢)		1	140	1	1-6	220	1	1-6	170	2	1-4	240	6	4-6	230	4	1=>6	240	1	1-4-6	440	2	1=>6=>4	710	2.0	(2,7),6,3,1,(5,4)	2,(7,6),(1,3,4),5	(2,6),1,(7,4),3,5	1,6,4,7,2,3-5		
200854060105	ダ	右	1400	晴	不良	13:30	C6		2008-6-1	4	高知	3	(馬齢)		6	100	1	6-7	510	2	6-7	350	5	2-6	150	1	2-7	460	7	6=>7	670	3	2-6-7	570	4	6=>7=>2	2000	6.0	25186734	2,(1,5),8,(6,7),3,4	2,(5,8,7),(1,6),3-4	6,(2,7),(5,8),1,3-4		
200854060106	ダ	右	1300	晴	不良	14:00	D2		2008-6-1	4	高知	3	(馬齢)		7	130	1	1-7	880	4	1-7	1,370	12	2-7	460	5	1-2	2,660	20	7=>1	3570	15	1-2-7	6470	22	7=>1=>2	19340	64.0	(1,5),2,(3,6),7,4,8	1,5,(2,3),6,7,4,8	15273648	(1,7),2,5,6,4,3,8		
200854060107	ダ	右	1400	晴	不良	14:30	アヤメ特別 		2008-6-1	4	高知	3	(馬齢)		7	170	1	3-7	5530	13	3-7	540	8	6-7	200	1	3-6	890	11	7=>3	4740	16	3-6-7	1510	6	7=>3=>6	12630	37.0	1,5,7,6,(2,4)-3	1,5,7,(2,4,6)=3	1,5,7,(2,4,6)=3	7,(1,5),4,(2,6),3		
200854060108	ダ	右	1300	晴	不良	15:05	結婚記念日特別		2008-6-1	4	高知	3	(馬齢)		10	660	3	8-10	1590	4	8-10	560	6	2-10	1,090	15	2-8	300	1	10=>8	2110	7	2-8-10	2620	10	10=>8=>2	9410	23.0	10,6,8,3,(1,9),(2,4),7,5	10,8,6,3,9,1,(2,4),7,5	10,8,6,(3,2,9),(1,4),7,5	10,8,(6,2),9,3,7,(1,4),5		
200854060109	ダ	右	1400	晴	不良	15:40	C3		2008-6-1	4	高知	3	(馬齢)		9	170	1	7-9	850	4	7-9	330	4	4-9	230	2	4-7	330	4	9=>7	1100	5	4-7-9	670	3	9=>7=>4	2440	8.0	8,7,9,3,6,5,(2,4),1	8,7,9,(3,6),5,(2,4),1	8,(9,7),(3,6),5,4,2,1	9,8,7,4,6,(2,3),(5,1)		
200854060801	ダ	右	1300	曇	稍重	11:30	E10		2008-6-8	4	高知	5	(馬齢)		2	290	2	2-5	150	1	2-5	120	1	2-6	340	4	5-6	340	4	2=>5	680	2	2-5-6	510	2	2=>5=>6	2300	9.0	652431	652314	(2,6),5,3,1,4	2,5,6,3-4,1		
200854060802	ダ	右	1300	曇	稍重	12:00	E9		2008-6-8	4	高知	5	(馬齢)		2	1090	3	2-3	1830	5	2-3	160	3	2-5	110	1	3-5	110	2	2=>3	3530	8	2-3-5	180	1	2=>3=>5	8110	19.0	521364	521346	(5,2),1,3,4,6	(5,2),1,3,4,6		
200854060803	ダ	右	1300	曇	稍重	12:30	E8		2008-6-8	4	高知	5	(馬齢)		6	150	1	6-7	220	1	6-7	120	1	3-6	200	3	3-7	260	4	6=>7	310	1	3-6-7	230	1	6=>7=>3	680	1.0	6,(1,7),5,2,(3,4)	6175234	6715234	6715324		
200854060804	ダ	右	1300	曇	稍重	13:00	E7		2008-6-8	4	高知	5	(馬齢)		4	380	2	4-6	1430	6	4-6	570	7	3-4	740	9	3-6	620	8	4=>6	3050	12	3-4-6	5340	13	4=>6=>3	11610	34.0	(5,7),6,4,2,3,1	5,7,6,4-2,3,1	5,7,(4,6)=2,3,1	4,5,(7,6)-3,1,2		
200854060805	ダ	右	1400	曇	稍重	13:30	E6		2008-6-8	4	高知	5	(馬齢)		8	130	1	1-8	180	1	1-8	120	1	3-8	130	2	1-3	170	3	8=>1	260	1	1-3-8	180	1	8=>1=>3	470	1.0	28371654	28376154	38621754	83156472		
200854060806	ダ	右	1300	曇	稍重	14:00	Dハ		2008-6-8	4	高知	5	(馬齢)		10	150	1	9-10	300	1	9-10	200	1	1-10	620	7	1-9	1,040	13	10=>9	440	1	1-9-10	2030	6	10=>9=>1	3350	10.0	10,9,6,5,8,(4,11),1,7,3,2	10,1,9,(4,6,5),8,11,2,7,3	10,(1,9),5,(4,6),7,8,(2,11)-3	10,(1,9),(6,5),4,7,11,(2,8),3		
200854060807	ダ	右	1300	曇	稍重	14:30	晃利正恵婚約記念特別		2008-6-8	4	高知	5	(馬齢)		3	460	2	3-10	2000	9	3-10	630	9	3-4	190	1	4-10	220	2	3=>10	4250	17	3-4-10	1110	3	3=>10=>4	17540	58.0	1,9,7,5,11,(2,8,10),3,4,6	1,9,5,7,2,(10,11),8,3,4,6	1,5,9,7,(2,10,4),11,3,8-6	1,5,9,7,(10,4),3,(2,8)-6,11		
200854060808	ダ	右	1300	曇	稍重	15:05	Cイ		2008-6-8	4	高知	5	(馬齢)		9	160	1	3-9	220	1	3-9	130	1	8-9	650	8	3-8	900	9	9=>3	280	1	3-8-9	1860	5	9=>3=>8	2990	7.0	9,2,6,5,3,10,8,1,(4,7)	92653108417	9,6,2,3,5,(8,10),4,1,7	9-3,6,2,(5,8),10,4,1,7		
200854061401	ダ	右	1300	晴	稍重	11:30	D10		2008-6-14	5	高知	1	(馬齢)		6	1080	2	4-6	400	2	4-6	190	2	6-7	710	7	4-7	960	8	6=>4	340	1	4-6-7	2160	7	6=>4=>7	3130	10.0	4,2,(5,6),3,1,7	4,6,5,(1,2,7),3	6,4,5-7-3,1,2	6,4,5,7-3=1=2		
200854061402	ダ	右	1300	晴	稍重	12:00	D9		2008-6-14	5	高知	1	(馬齢)		3	140	1	1-3	190	1	1-3	130	1	3-6	180	3	1-6	230	4	3=>1	200	1	1-3-6	240	1	3=>1=>6	470	1.0	3,(1,4),6,2,7,5	3146275	3146275	3,1,6,4,2-7,5		
200854061403	ダ	右	1300	晴	稍重	12:30	D8		2008-6-14	5	高知	1	(馬齢)		4	690	3	4-8	170	1	4-8	170	1	2-4	540	8	2-8	290	4	4=>8	1700	6	2-4-8	520	2	4=>8=>2	4500	17.0	4,8,5,7,(2,6),1,3	4,8,5,(2,7),1,6,3	48572163	4-8,2,5,(7,1),6-3		
200854061404	ダ	右	1400	晴	稍重	13:00	D7		2008-6-14	5	高知	1	(馬齢)		8	110	1	7-8	490	3	7-8	370	4	4-8	220	2	4-7	480	5	8=>7	870	3	4-7-8	550	3	8=>7=>4	2200	8.0	15847623	1,5,8-4,7-(2,6),3	8,5,1,(4,7)-3,(2,6)	8,7,4,5,3-1,(2,6)		
200854061405	ダ	右	1300	晴	稍重	13:30	D6		2008-6-14	5	高知	1	(馬齢)		6	140	1	4-6	550	3	4-6	520	7	3-6	220	2	3-4	520	7	6=>4	790	4	3-4-6	1100	5	6=>4=>3	2380	10.0	4,5,6,(1,3,7),2	4,5,6,(1,3)-7,2	4,5,6-3-1,(7,2)	6,4-(5,3)-2-7,1		
200854061406	ダ	右	1300	晴	稍重	14:00	A　Bイ　混合		2008-6-14	5	高知	1	(馬齢)		2	190	1	2-5	220	1	2-5	110	1	2-4	540	8	4-5	350	5	2=>5	230	1	2-4-5	1160	3	2=>5=>4	1860	7.0	23154	23154	23154	2,5,(1,3),4		
200854061407	ダ	右	1300	晴	稍重	14:30	D3		2008-6-14	5	高知	1	(馬齢)		7	390	4	4-7	1930	7	4-7	770	11	6-7	360	3	4-6	660	8	7=>4	4440	16	4-6-7	2670	10	7=>4=>6	16490	50.0	4726153	4762153	4762153	7,4,6,(2,1),5,3		
200854061408	ダ	右	1400	晴	稍重	15:05	頑張れ浜田達也特別		2008-6-14	5	高知	1	(馬齢)		2	360	2	2-6	580	2	2-6	180	3	2-7	250	4	6-7	170	1	2=>6	1210	5	2-6-7	450	1	2=>6=>7	3000	8.0	6724315	6,7,2-4,1,5,3	6,(2,7)-4,(1,5),3	6,2,7-5,4,1,3		
200854061409	ダ	右	1400	晴	稍重	15:40	C5　記者選抜		2008-6-14	5	高知	1	(馬齢)		2	460	2	2-7	2040	8	2-7	950	15	2-6	440	5	6-7	470	7	2=>7	2530	10	2-6-7	1180	3	2=>7=>6	9620	29.0	6,(5,7),9,1,8,3,(2,4)	6,7,5,9,1,(8,3),2,4	6,7,9,5,3,(1,2),8,4	6,7,2,(5,9),3,(4,1,8)		
200854062201	ダ	右	1300	曇	不良	11:30	E3		2008-6-22	5	高知	4	(馬齢)		5	610	3	5-6	540	2	5-6	200	2	3-5	210	3	3-6	110	1	5=>6	2610	6	3-5-6	220	1	5=>6=>3	4080	11.0	3652147	3,6,2,5-1,7,4	(3,6),(2,5)-1,7,4	6,3,5,2-1,4,7		
200854062202	ダ	右	1300	曇	不良	12:00	崇之・葉子祝結婚特別		2008-6-22	5	高知	4	(馬齢)		2	600	4	2-6	500	1	2-6	400	2	2-3	4,510	21	3-6	1,190	13	2=>6	1240	3	2-3-6	2800	11	2=>6=>3	11220	48.0	6,3,4,1,2,(5,7)	6,3,2,4,1,(5,7)	6,2,3,(1,4),7,5	2637415		
200854062203	ダ	右	1300	曇	不良	12:30	Cイ		2008-6-22	5	高知	4	(馬齢)		6	190	1	2-6	460	2	2-6	240	3	1-6	300	4	1-2	400	5	6=>2	520	2	1-2-6	1620	6	6=>2=>1	2800	9.0	(5,6)-3,2,7,4,1	5,6,2,3,7-(1,4)	5,(2,6),3,7,1,4	(5,2),6,1,(3,7),4		
200854062204	ダ	右	1300	曇	不良	13:00	Cロ		2008-6-22	5	高知	4	(馬齢)		6	250	2	3-6	220	1	3-6	100	1	5-6	290	2	3-5	380	7	6=>3	460	2	3-5-6	600	2	6=>3=>5	1410	4.0	(2,4,8),3,5,7,6,1	2,4,8,3,5,(6,7),1	(2,3),4,5,8,6,1,7	36524187		
200854062205	ダ	右	1400	曇	不良	13:30	E7　記者選抜		2008-6-22	5	高知	4	(馬齢)		5	2070	6	5-9	23810	42	5-9	6,360	39	2-5	2,170	27	2-9	6,360	39	5=>9	30680	65	2-5-9	147970	110	特	70		9,(3,4,7),1,6,(2,10),5-8	9,(3,4),(1,7),(6,10),2-5-8	9,4,3,1,7,2,6,10,5-8	9,2,1,4,5,3,7,(6,10),8		
200854062206	ダ	右	1300	曇	不良	14:00	Cハ		2008-6-22	5	高知	4	(馬齢)		8	150	1	1-8	930	4	1-8	330	4	6-8	300	2	1-6	1,000	14	8=>1	950	4	1-6-8	1280	5	8=>1=>6	4760	12.0	8,(1,4,5,6,7),(2,3),9	8,(1,6),7,4,5,(2,3),9	8,(1,6,7),(3,4,5),2,9	817634529		
200854062901	ダ	右	1300	曇	不良	11:30	Eニ		2008-6-29	5	高知	6	(馬齢)		5	300	3	1-5	210	1	1-5	170	2	2-5	330	5	1-2	350	7	5=>1	400	1	1-2-5	460	2	5=>1=>2	1410	4.0	5,2,(1,6),4	5,2-1,6,4	5,2,1-4,6	5,1,2-6,4		
200854062902	ダ	右	1300	曇	不良	12:00	Eハ		2008-6-29	5	高知	6	(馬齢)		4	7850	6	2-4	7350	10	2-4	770	12	3-4	210	2	2-3	110	1	4=>2	56660	23	2-3-4	870	4	4=>2=>3	70610	62.0	6,(2,3),5-4=1	2,6,3-(4,5)=1	2,3,6-4,5=1	2,3,4,6-5=1		
200854062903	ダ	右	1300	曇	不良	12:30	Eロ		2008-6-29	5	高知	6	(馬齢)		5	170	1	4-5	270	2	4-5	140	2	2-5	130	1	2-4	190	3	5=>4	390	2	2-4-5	230	1	5=>4=>2	720	1.0	4,5,3,1-2,6	4,1,5,3=2,6	4,5,3,1-(2,6)	542361		
200854062904	ダ	右	1300	曇	不良	13:00	Eイ		2008-6-29	5	高知	6	(馬齢)		1	330	2	1-4	630	3	1-4	150	2	1-5	130	1	4-5	170	3	1=>4	1260	6	1-4-5	200	1	1=>4=>5	1750	5.0	(1,5),(3,6)-(2,4)	513642	5,1,(3,6),4=2	5,1,4,3,6=2		
200854062905	ダ	右	1400	曇	不良	13:30	C4		2008-6-29	5	高知	6	(馬齢)		2	340	3	2-4	2470	10	2-4	790	8	2-6	550	7	4-6	790	8	2=>4	6760	19	2-4-6	4150	15	2=>4=>6	25340	68.0	2486573	2,4,(6,8),5-7,3	2,(5,6,8),4-7,3	2,6,8,5,4-7,3		
200854071101	ダ	右	1300	晴	良	13:10	D7		2008-7-11	6	高知	3	(馬齢)		3	130	1	3-5	2460	6	3-5	570	7	3-4	160	2	4-5	2,160	12	3=>5	1800	6	3-4-5	1250	5	3=>5=>4	4630	16.0	3,6,5,(2,4),1	3,6-(5,4),2,1	3,6,5,4=2,1	3-5,6,4=2,1		
200854071102	ダ	右	1300	晴	良	13:40	D6		2008-7-11	6	高知	3	(馬齢)		4	140	1	2-4	180	1	2-4	100	1	3-4	170	3	2-3	280	5	4=>2	200	1	2-3-4	320	1	4=>2=>3	650	2.0	4,(2,6),3,5,1	4-2-6,3,5,1	4-2=3,5,6,1	4-2=3,5,6,1		
200854071103	ダ	右	1300	晴	良	14:10	D5		2008-7-11	6	高知	3	(馬齢)		2	220	1	1-2	710	3	1-2	200	2	2-3	390	5	1-3	400	6	2=>1	1040	4	1-2-3	810	4	2=>1=>3	2710	11.0	2617345	2-6,1,7,3-4,5	2-(1,6),3,7,4,5	2-1,6,3-4,5,7		
200854071104	ダ	右	1400	晴	良	14:40	D4		2008-7-11	6	高知	3	(馬齢)		2	120	1	2-4	260	2	2-4	190	2	2-7	980	7	4-7	2,220	11	2=>4	460	2	2-4-7	1800	6	2=>4=>7	2050	8.0	2,(3,5),1,6,4,7	2,5,3,1,4-(6,7)	2-5,4,(1,3),7,6	2=4,5,(1,7),3-6		
200854071105	ダ	右	1300	晴	良	15:10	Bイ		2008-7-11	6	高知	3	(馬齢)		3	500	2	3-5	150	1	3-5	100	1	2-3	100	2	2-5	100	3	3=>5	590	3	2-3-5	160	1	3=>5=>2	1320	4.0	35214	3,1,5,2-4	3,5,1,2=4	3,5-2-1-4		
200854071106	ダ	右	1300	晴	良	15:40	D3		2008-7-11	6	高知	3	(馬齢)		5	200	2	4-5	140	1	4-5	130	1	5-7	270	3	4-7	360	5	5=>4	300	1	4-5-7	570	2	5=>4=>7	1120	1.0	4,6,(5,8),7,1,3,2	4,5,(1,7,6),8,2,3	4,5-7,8,1,(2,6)-3	5,4=7,8,2,1,(6,3)		
200854071107	ダ	右	1300	晴	良	16:10	環境ひと筋あきら特別		2008-7-11	6	高知	3	(馬齢)		5	200	2	5-7	1680	5	5-7	1,030	8	3-5	23,840	27	3-7	11,960	23	5=>7	1880	7	3-5-7	12490	25	5=>7=>3	80260	104.0	7,4,(1,6),(2,5),3,8	7,6,4,(2,5),(1,3,8)	(7,6),(2,5),8,4,1,3	56732814		
200854071108	ダ	右	1400	晴	良	16:40	C4		2008-7-11	6	高知	3	(馬齢)		1	290	2	1-5	2960	10	1-5	1,150	11	1-2	120	1	2-5	2,520	21	1=>5	4560	9	1-2-5	2900	11	1=>5=>2	8660	24.0	1,2,7,3,(4,6),(5,8)	12374658	1,2-3,4,5,(6,7),8	1-5,2,4,3,6,8,7		
200854071109	ダ	右	1400	晴	良	17:15	C3		2008-7-11	6	高知	3	(馬齢)		3	5340	7	3-7	67260	35	3-7	3,860	27	3-5	1,700	14	5-7	990	7	3=>7	53760	37	3-5-7	13640	29	3=>7=>5	350350	277.0	5,4,7,3,1,9,(2,6),8	5,3,4,7,1,9,(2,6),8	5,(3,4)-7,1,6,9,2,8	5,3,4,7,2,1,8,(9,6)		
200854071110	ダ	右	1600	晴	良	17:50	酷暑特別 		2008-7-11	6	高知	3	(馬齢)		1	260	1	1-5	1130	5	1-5	780	9	1-2	720	8	2-5	1,000	13	1=>5	1890	7	1-2-5	4580	15	1=>5=>2	23990	68.0	17582463	1,7,(8,5),2,4,6,3	15728463	15284736		
200854071111	ダ	右	1300	晴	良	18:25	ファイナルレース		2008-7-11	6	高知	3	(馬齢)		4	200	1	4-6	3840	15	4-6	1,740	23	3-4	430	5	3-6	1,270	18	4=>6	5120	20	3-4-6	8200	32	4=>6=>3	53400	163.0	6,7,9,3,(1,5),4,8,2	6,7,9,(3,5),(1,4),(2,8)	6,7,3,9,5,4,1,(2,8)	6,3,7,(4,5),1,9,8,2		
200854072001	ダ	右	1300	晴	良	11:30	E5		2008-7-20	6	高知	6	(馬齢)		6	670	3	6-7	320	1	6-7	180	2	5-6	200	3	5-7	130	1	6=>7	1000	4	5-6-7	390	1	6=>7=>5	1780	4.0	3,(1,5),(7,8),6,4,2	3,5,7,(1,8),6,4-2	3,5,7,8,6,1-4-2	7,3,5,6,(1,8),4=2		
200854072002	ダ	右	1300	晴	良	12:00	E4		2008-7-20	6	高知	6	(馬齢)		7	1040	2	1-7	1420	5	1-7	180	2	2-7	100	1	1-2	260	3	7=>1	1630	7	1-2-7	370	1	7=>1=>2	5170	20.0	2,5,(1,7),3,8,(4,6)	2,5,1,(3,7),4,8-6	2,5,1,7,3,4-8-6	2,1,5,7,3,4-8,6		
200854072003	ダ	右	1400	晴	良	12:30	E3		2008-7-20	6	高知	6	(馬齢)		2	110	1	1-2	200	1	1-2	160	1	2-6	560	9	1-6	770	10	2=>1	240	1	1-2-6	1620	4	2=>1=>6	1910	6.0	1,(2,8),4,5,7,3,6	1-(4,2),8,5,(3,6,7)	1-2,4,(6,8,5)-(3,7)	1,2-6,(4,8),5-3,7		
200854072004	ダ	右	1300	晴	良	13:00	Cロ		2008-7-20	6	高知	6	(馬齢)		4	280	2	2-4	610	3	2-4	180	1	4-8	920	12	2-8	1,080	15	4=>2	920	5	2-4-8	2380	10	4=>2=>8	5260	19.0	4,2,7,5,8,(1,3),6	4,2,7,1,8,(5,3),6	4,2,(7,8,3),1-5,6	42783156		
200854072701	ダ	右	1300	晴	良	11:30	Eハ		2008-7-27	7	高知	2	(馬齢)		5	200	1	4-5	140	1	4-5	100	1	1-5	170	2	1-4	210	4	5=>4	180	1	1-4-5	280	2	5=>4=>1	480	2.0	(2,5)-1,4,3	5,2-1=4,3	5,2,1-4,3	5-1,4,3,2		
200854072702	ダ	右	1300	晴	良	12:05	Eロ		2008-7-27	7	高知	2	(馬齢)		5	170	1	2-5	150	1	2-5	110	1	4-5	130	2	2-4	140	3	5=>2	410	2	2-4-5	180	1	5=>2=>4	590	2.0	52413	52413	5,2,4,(1,3)	52143		
