	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	枠連:的中	枠連:配当	枠連:人気
200634071809	ダ	右	1600	雨	不良	18:50	リゲル特別 		2006-7-18	2	旭川	4	80万円以下	(規定)	4	320	1	4	120	2	11	110	1	1.0	150.0	4.0	4-11	350	1	4=>11	550	1.0	1-4-11	920	3.0	4=>11=>1	2640	4.0	7,4,8,(2,10),12,3,11,1,6,5-9	7,4,(8,10),(2,12),(3,11),(1,6),5-9	7,(4,11),2,3,(10,6,1),(8,12),5,9	4,(7,11),2,1,3,6,(5,12,9),8,10			4-8	220.0	1.0
200634071901	ダ	右	1000	晴	重	14:30	2歳　未勝利		2006-7-19	2	旭川	5	牝(規定)		6	670	3	6	130	2	2	100	1	8.0	300.0	7.0	2-6	430	1	6=>2	800	1.0	2-6-8	2590	10.0	6=>2=>8	17040	50.0			2,6,(8,9),11,(1,3),12,(5,10,7)	(2,6),8,9,(1,3,11),12,10,5,7			2-5	470.0	1.0
200634071902	ダ	右	1000	晴	稍重	15:00	D3　ー5組		2006-7-19	2	旭川	5	40万円以下	(規定)	6	440	2	6	350	2	3	1,880	6	10.0	1,410	4.0	3-6	2960	10	6=>3	9190	23.0	3-6-10	19200	33.0	6=>3=>10	135770	186.0			5,(6,12),9,3,11,10,(2,7,8),4,1	5,6,12,(9,3),11,(10,7),(2,4,8),1			3-5	4280.0	10.0
200634071903	ダ	右	1500	晴	稍重	15:30	アタックチャレンジ競		2006-7-19	2	旭川	5	(規定)		10	1340	7	10	720	7	6	430	4	1.0	740	8.0	6-10	5080	23	10=>6	22010	51.0	1-6-10	103880	114.0	10=>6=>1	934830	698.0	8,(9,10),11,5,4,2,(1,6,7),3	(8,9,10),11,5,(2,6),4,(1,7),3	(8,10),6,(11,7),(9,5,2,1),4,3	(10,6),(8,7),1,(5,11,2),3,4,9			6-8	400.0	1.0
200634071904	ダ	右	1000	曇	稍重	16:00	D3　ー3組		2006-7-19	2	旭川	5	40万円以下	(規定)	5	120	1	5	130	1	7	160	3	2.0	230	5.0	5-7	1030	3	5=>7	1030	4.0	2-5-7	1760	6.0	5=>7=>2	5930	20.0			(1,2),5,7,8,9,3,6-4,10	(1,2),5,(7,8),9,(3,6)-4,10			5-7	550.0	2.0
200634071905	ダ	右	1000	雨	不良	16:30	フレッシュチャレンジ		2006-7-19	2	旭川	5	牝(規定)		4	860	4	4	190	4	2	180	3	6.0	480	7.0	2-4	2720	10	4=>2	9220	26.0	2-4-6	12170	31.0	4=>2=>6	110090	195.0			4,2,(5,6),(3,9),1,11-10,(7,8)	(2,4),6,5,(3,1,9),11,(10,8),7			2-4	3150.0	13.0
200634071906	ダ	右	1500	雨	不良	17:05	D2　ー2組		2006-7-19	2	旭川	5	60万円以下	(規定)	3	1430	7	3	350	6	5	270	3	12.0	560	7.0	3-5	3770	15	3=>5	10120	32.0	3-5-12	10840	43.0	3=>5=>12	68050	227.0	1,(5,10),(12,9),3,8,7-2,11,(4,6)	1,(5,10),(12,9),3,8,7,2,11,(4,6)	1,10,5,12,3,9,(7,8),2-11,6,4	1,10,(5,12),3,7,2,9,11,8,6,4			3-5	4150.0	12.0
200634071907	ダ	右	1500	雨	不良	17:40	D2　ー1組		2006-7-19	2	旭川	5	60万円以下	(規定)	7	310	1	7	190	2	2	310	5	6.0	1,600	11.0	2-7	2110	8	7=>2	2990	11.0	2-6-7	59830	99.0	7=>2=>6	124830	344.0	(2,3),4,7,5,(6,10),(1,8,11),9	2,3,(4,7),5,(6,10),(1,8,11),9	2,(4,7),3,5,6,11,(1,8,10),9	2,7,(5,4,6),(1,3,8),(10,9),11			2-6	1430.0	7.0
200634071908	ダ	右	1600	雨	不良	18:15	ウィナーズチャレンジ 		2006-7-19	2	旭川	5	(規定)		8	500	3	8	180	3	7	170	2	2.0	190	4.0	7-8	1450	7	8=>7	3910	19.0	2-7-8	4710	19.0	8=>7=>2	23700	76.0	89105627134	89105627134	8,(9,10),7,5,6,2-1,3,4	8,(10,7),9,(2,5,6),(1,3,4)			7-7	1740.0	9.0
200634071909	ダ	右	1000	雨	不良	18:50	アルキバ特別 		2006-7-19	2	旭川	5	160万円以下	(規定)	1	550	2	1	230	4	8	140	1	4.0	220	3.0	1-8	890	2	1=>8	1840	5.0	1-4-8	2510	6.0	1=>8=>4	19590	39.0			1,4,3,8,(9,12),(6,13),2,(5,7,10,11)	1,4,8,3,6,(5,2,9,12),10,(11,13),7			1-6	760.0	3.0
200634071910	ダ	右	1000	雨	不良	19:25	ミランダ特別 		2006-7-19	2	旭川	5	800万円以下	(別定)	7	320	2	7	120	1	3	130	2	9.0	180	5.0	3-7	300	1	7=>3	700	1.0	3-7-9	1750	5.0	7=>3=>9	4550	11.0			4,(5,6),(3,7),9,8,2,1	4,6,(3,5,7),(2,8,9),1			3-7	290.0	1.0
200634071911	ダ	右	1500	曇	不良	20:00	日高軽種馬共同育成公 		2006-7-19	2	旭川	5	(別定)		7	200	2	7	140	3	5	110	1				5-7	140	1	7=>5	400	2.0	3-5-7	300	2.0	7=>5=>3	1240	5.0	1457632	1,(4,5),7,6,3,2	(1,5),7,4,3,6,2	(1,5),7,(4,3),6,2					
200634071912	ダ	右	1600	曇	不良	20:35	アンドロメダ特別 		2006-7-19	2	旭川	5	400万円以下	(別定)	2	570	4	2	360	7	1	300	6	9.0	250	5.0	1-2	2300	10	2=>1	3960	19.0	1-2-9	4630	19.0	2=>1=>9	32600	120.0	2,4,9,(1,10),(8,11),6,3,7-5	2,4,9,(1,8,10),(6,11),(3,7)-5	2,9,8,4,1,(3,6),7,(10,11)-5	2,9,8,(1,6),(4,3),7,11,10,5			1-2	3990.0	15.0
200634072001	ダ	右	1000	晴	重	14:30	2歳　未勝利		2006-7-20	2	旭川	6	(規定)		4	1690	3	4	230	3	5	1,590	10	11.0	860	7.0	4-5	13650	21	4=>5	33000	41.0	4-5-11	48390	61.0	4=>5=>11	481970	384.0			5,10,9,2,4,(6,11),(7,12)-8	5,(10,4),(2,9),(6,11),7,12-8			4-5	320.0	2.0
200634072002	ダ	右	1500	晴	重	15:00	2歳　未勝利		2006-7-20	2	旭川	6	(規定)		5	610	2	5	480	9	3	690	10	10.0	310	5.0	3-5	13210	37	5=>3	35750	73.0	3-5-10	29770	82.0	5=>3=>10	785720	880.0	5,(9,11),(3,7),(2,4,12),(1,6,10),8	5,(9,11),(3,7),(2,4,12),(1,6,10),8	5,(3,9),(2,7,11),(12,10)-(1,6),4,8	5,3,9,7,(2,12,10),11,6,1,8,4			3-5	5800.0	17.0
200634072003	ダ	右	1500	晴	重	15:30	D2　ー3組		2006-7-20	2	旭川	6	60万円以下	(規定)	2	680	5	2	240	4	3	170	2				2-3	3170	12	2=>3	3760	22.0	1-2-3	1450	7.0	2=>3=>1	15290	68.0	367421	3,6,7,(2,4),1	3,(6,7),2,1,4	3,(6,7),2,(4,1)					
200634072004	ダ	右	1000	晴	重	16:00	アタックチャレンジ競		2006-7-20	2	旭川	6	牝(規定)		1	360	2	1	170	2	3	630	8	5.0	250	4.0	1-3	6840	21	1=>3	12630	37.0	1-3-5	25070	49.0	1=>3=>5	47240	147.0			1,2,8,9,3,(4,7),6,5	1,2,3,(4,8,9),(7,5,6)			1-3	6640.0	17.0
200634072005	ダ	右	1000	晴	重	16:35	D3　ー1組		2006-7-20	2	旭川	6	40万円以下	(規定)	2	200	1	2	170	3	5	170	2	4.0	750	10.0	2-5	910	2	2=>5	1540	4.0	2-4-5	8240	26.0	2=>5=>4	45300	135.0			2,(4,11),(1,5,8),3,10,9,6,7	2,(4,11),(1,5,8),(3,10),9,6,7			2-5	990.0	5.0
200634072006	ダ	右	1500	晴	重	17:05	フレッシュチャレンジ		2006-7-20	2	旭川	6	(規定)		3	190	1	3	150	2	4	110	1				3-4	280	1	3=>4	400	1.0	3-4-5	350	1.0	3=>4=>5	970	2.0	3,5,(7,8),1,(6,4)	3,5,7,8,(4,6,1)	3,4,5-1,(6,8),7	3,4,5-1,(6,8),7					
200634072007	ダ	右	1000	晴	重	17:35	D2　ー1組		2006-7-20	2	旭川	6	60万円以下	(規定)	11	1300	7	11	470	6	9	330	5	5.0	190	2.0	9-11	5910	24	11=>9	13700	52.0	5-9-11	6050	22.0	11=>9=>5	66830	217.0			11,7,(3,10),(4,5),(1,12),(2,9),8,6	(11,7),(3,10),5,(4,12),(1,2,9),8,6			7-8	820.0	3.0
200634072008	ダ	右	1000	晴	重	18:10	D1　ー3組		2006-7-20	2	旭川	6	80万円以下	(規定)	3	520	2	3	200	4	1	110	1	11.0	260	6.0	1-3	660	2	3=>1	1780	6.0	1-3-11	2340	7.0	3=>1=>11	15850	40.0			(1,3),(5,11),10,12,(4,9),2,7,6,8	1,3,(10,5,11),(4,9,12),2,6,7,8			1-3	670.0	2.0
200634072009	ダ	右	1600	晴	重	18:45	ベータ特別 		2006-7-20	2	旭川	6	80万円以下	(規定)	9	180	1	9	140	1	7	250	4	10.0	560	8.0	7-9	740	2	9=>7	1170	3.0	7-9-10	15980	43.0	9=>7=>10	45590	107.0	7,3,5,1,4,9,(2,6,11),8,10	7,3,(1,5),4,(2,9),(6,8,11),10	7,(1,3),(5,4),9,10,(2,11),6,8	7,1,(3,9),4,(10,5),6,(8,11),2			6-7	860.0	4.0
200634072010	ダ	右	1500	雨	不良	19:20	マンハッタンカフェ賞 		2006-7-20	2	旭川	6	(規定)		6	420	2	6	140	1	12	2,070	12	10.0	180	3.0	6-12	29290	46	6=>12	40250	69.0	6-10-12	59340	115.0	6=>12=>10	398480	639.0	(4,8),5,(2,11),(1,6),3,9,7,12,10	4,8,(2,5),(1,11,6),3,(12,7,9),10	4,(5,6),8,2,(1,7,11),12,(3,10),9	(4,6),5,(12,2,7,10),8,1,3,11,9			5-8	3140.0	13.0
200634072011	ダ	右	1600	雨	不良	20:00	星雲賞〔H2〕スウェ	G	2006-7-20	2	旭川	6	(別定)		6	120	1	6	100	1	8	120	2	3.0	250	6.0	6-8	200	1	6=>8	280	1.0	3-6-8	920	4.0	6=>8=>3	1930	4.0	2,4,6,(1,3),8=7,(5,10),9	2,4,6,(1,3,8)=7,(5,10),9	(2,4,6),8,1,3=(5,7),10,9	(4,6),(2,8),(1,3)-(7,10),5,9			6-7	190.0	1.0
200634072012	ダ	右	1600	曇	不良	20:40	プロキオン特別 		2006-7-20	2	旭川	6	800万円以下	(別定)	2	930	4	2	140	2	1	280	5	4.0	150	3.0	1-2	2290	9	2=>1	4600	16.0	1-2-4	1360	5.0	2=>1=>4	11970	39.0	10,(2,4),8,(6,9),(1,5),(3,7)	10,2,4,8,(6,9),1,5,7,3	2,(10,4),8,1,(6,9,5),(3,7)	2,4,8,1,10,(6,5),9,(3,7)			1-2	2580.0	9.0
200634072501	ダ	右	1000	晴	良	14:30	2歳　未勝利		2006-7-25	3	旭川	1	(規定)		4	310	2	4	170	4	1	370	6	2.0	200	5.0	1-4	4850	12	4=>1	8350	25.0	1-2-4	4000	12.0	4=>1=>2	44860	91.0			4,(2,3),8,(1,5),6,7	4,(2,3),(1,8),5,6,7					
200634072502	ダ	右	1000	晴	良	15:00	2歳　未勝利		2006-7-25	3	旭川	1	(規定)		5	160	1	5	100	1	3	100	2	2.0	150	3.0	3-5	220	1	5=>3	460	1.0	2-3-5	430	1.0	5=>3=>2	1190	1.0			(3,5),8-6,1,4,2,7	35861427					
200634072503	ダ	右	1000	晴	良	15:30	D3　ー5組		2006-7-25	3	旭川	1	40万円以下	(規定)	2	320	2	2	140	2	7	110	1	6.0	270	7.0	2-7	260	1	2=>7	390	1.0	2-6-7	1800	6.0	2=>7=>6	3630	13.0			(1,7),5,2,6,8,3,4	(1,7),5,2,(6,8),3,4					
200634072504	ダ	右	1500	晴	良	16:00	D3　ー3組		2006-7-25	3	旭川	1	40万円以下	(規定)	4	580	3	4	160	3	8	110	1	10.0	240	5.0	4-8	600	2	4=>8	2070	8.0	4-8-10	6880	24.0	4=>8=>10	42750	115.0	4,(5,6),8-2,3,7,9,10	4,(5,6,8)-(2,3),7,9,10	4,8,(5,6)-2,3,(10,7),9	4,8,5,6,2,(10,3,7),9			4-7	690.0	3.0
200634072505	ダ	右	1000	晴	良	16:30	ルーキーチャレンジ競		2006-7-25	3	旭川	1	(規定)		1	750	5	1	300	7	9	120	1	3.0	190	4.0	1-9	1210	4	1=>9	3460	14.0	1-3-9	4030	19.0	1=>9=>3	21680	84.0			(1,2),9,8,7,3,(5,4),6	(1,2),9,(7,8,3),6,(5,4)			1-8	1030.0	4.0
200634072506	ダ	右	1000	晴	良	17:00	ルーキーチャレンジ競		2006-7-25	3	旭川	1	(規定)		6	210	1	6	100	1	9	150	4	7.0	120	2.0	6-9	480	2	6=>9	860	3.0	6-7-9	460	1.0	6=>9=>7	2110	2.0			(2,7,9),(1,4,6),(5,3),8	(7,9),(2,1,6),(5,4,3),8			6-8	450.0	2.0
200634072507	ダ	右	1000	晴	良	17:30	アタックチャレンジ競		2006-7-25	3	旭川	1	(規定)		8	380	1	8	190	5	5	140	1	4.0	400	7.0	5-8	1770	10	8=>5	3000	14.0	4-5-8	7370	31.0	8=>5=>4	32420	149.0			4,(2,6,8),7,1,5,3	(4,6),8,2,7,1,5,3					
200634072508	ダ	右	1500	晴	良	18:05	D3　ー2組		2006-7-25	3	旭川	1	40万円以下	(規定)	1	340	2	1	150	2	12	120	1	8.0	1,380	10.0	1-12	470	1	1=>12	830	2.0	1-8-12	8860	26.0	1=>12=>8	28560	82.0	(8,12),(2,6),(1,7,9),(4,11),5,10,3	8,12,2,(1,6,9),7,(4,11),5-(3,10)	8,12,(1,2,9),11,6,4,5,7-(3,10)	(1,8,12),(2,9),(6,11),4,5,7,3,10			1-8	320.0	1.0
200634072509	ダ	右	1000	晴	良	18:40	D2　ー2組		2006-7-25	3	旭川	1	60万円以下	(規定)	9	160	1	9	120	1	7	270	6	5.0	630	7.0	7-9	580	2	9=>7	880	2.0	5-7-9	7760	26.0	9=>7=>5	31100	87.0			3,(6,9),(4,7,11),5,(10,8),2,1	3,(6,9),(4,7),5,11,(2,10,8),1			6-7	240.0	1.0
200634072510	ダ	右	1500	晴	良	19:15	ヘルクレス特別 		2006-7-25	3	旭川	1	100万円以下	(規定)	7	1730	6	7	410	6	4	770	8	3.0	170	3.0	4-7	15610	29	7=>4	32660	55.0	3-4-7	19590	46.0	7=>4=>3	153790	280.0	7,10,4,(1,5),9,(6,8),(2,3)	7,10,(4,5),(1,6,9),8,(2,3)	7,5,4,(10,9,3),8,6,1,2	7,(5,4),3,(10,9),8,(6,2),1			4-7	7590.0	18.0
200634072511	ダ	右	1600	晴	良	19:55	北海道競馬記者クラブ 		2006-7-25	3	旭川	1	160万円以下	(規定)	1	1530	7	1	530	8	5	310	5	9.0	340	6.0	1-5	8270	20	1=>5	12710	36.0	1-5-9	49870	65.0	1=>5=>9	204600	284.0	1,8,(5,7),(3,4),9,2,6	1,(8,7),5,(3,4),(9,2),6	1,(8,7),5,4,9,2,(3,6)	1,7,(9,8,5),6,(4,2),3			1-5	6880.0	18.0
200634072512	ダ	右	1600	晴	良	20:30	フォーマルハウト特別 		2006-7-25	3	旭川	1	130万円以下	(規定)	4	160	1	4	100	1	8	220	6	2.0	130	2.0	4-8	1490	4	4=>8	2180	7.0	2-4-8	1490	3.0	4=>8=>2	6440	16.0	8,4,2,(3,9),5,1,7-6	8,4,(2,9),3,(5,1),7-6	8,4,2,3,(1,9),(7,5)=6	8,4,2,3,1,9,7,5-6			4-8	400.0	2.0
200634072601	ダ	右	1500	晴	良	15:00	D3　ー5組		2006-7-26	3	旭川	2	40万円以下	(規定)	4	190	1	4	160	1	7	860	7				4-7	3460	11	4=>7	3780	14.0	1-4-7	5500	22.0	4=>7=>1	28990	101.0	(1,2),4,5,6,7,3	1,2,4,(5,6),7,3	1,4,2,(6,7),3,5	4176325					
200634072602	ダ	右	1000	晴	良	15:30	2歳　牝馬		2006-7-26	3	旭川	2	牝(規定)		2	160	1	2	120	1	8	190	3				2-8	370	2	2=>8	470	2.0	2-3-8	470	1.0	2=>8=>3	1860	3.0			2,4,8,3,(1,5,7)	(2,4,8),3,(1,5,7)					
200634072603	ダ	右	1500	晴	良	16:00	D3　ー4組		2006-7-26	3	旭川	2	40万円以下	(規定)	3	220	1	3	120	1	5	120	2				3-5	260	1	3=>5	490	1.0	1-3-5	310	1.0	3=>5=>1	1240	1.0	(4,5),6,3,1,7-2	(4,5),6,3,1,7-2	(4,5),3,6-1,7=2	(4,5),3,6,1,7=2					
200634072604	ダ	右	1000	晴	良	16:30	アタックチャレンジ競		2006-7-26	3	旭川	2	(規定)		8	170	1	8	100	1	4	130	2				4-8	320	1	8=>4	510	1.0	4-5-8	410	1.0	8=>4=>5	1280	1.0			(6,8),4,(5,7),2,3	(6,8),4,5,7,2,3					
200634072605	ダ	右	1500	晴	良	17:00	2歳　未勝利		2006-7-26	3	旭川	2	(規定)		3	160	1	3	110	1	8	130	2	7.0	320	8.0	3-8	500	1	3=>8	530	1.0	3-7-8	3170	12.0	3=>8=>7	8090	21.0	6,(7,9),3,2,8,5,1,4,11	6,(7,9),3,(2,8),1,5,(4,11)	6,(7,3),9,(2,1,8),(4,11,5)	(6,7,3),8,2,9,1,(4,11),5			3-7	400.0	1.0
200634072606	ダ	右	1000	晴	良	17:30	フレッシュチャレンジ		2006-7-26	3	旭川	2	(規定)		1	190	1	1	100	1	6	420	6				1-6	1730	7	1=>6	1970	8.0	1-6-8	2920	11.0	1=>6=>8	12100	39.0			6,1,8,3,5,7-2	6183572					
200634072607	ダ	右	1000	晴	良	18:05	D3　ー3組		2006-7-26	3	旭川	2	40万円以下	(規定)	3	180	1	3	140	2	7	170	4	8.0	240	5.0	3-7	600	3	3=>7	990	4.0	3-7-8	930	1.0	3=>7=>8	3740	6.0			(3,7),8,1,2,6,(4,5)	(3,7),8,1,2,6,5,4					
200634072608	ダ	右	1000	晴	良	18:40	D3　ー2組		2006-7-26	3	旭川	2	40万円以下	(規定)	2	260	1	2	160	2	5	160	3	6.0	1,030	9.0	2-5	1280	6	2=>5	3160	11.0	2-5-6	12870	36.0	2=>5=>6	66730	191.0			5,(11,12),6,2,7,(1,9),10,(4,8)	(5,12),11,(2,6),7,9,1,(4,10),8			2-5	1400.0	8.0
200634072609	ダ	右	1600	晴	良	19:15	フェルカド特別 		2006-7-26	3	旭川	2	160万円以下	(規定)	4	450	4	4	180	5	3	150	3	8.0	170	4.0	3-4	680	4	4=>3	1140	5.0	3-4-8	880	4.0	4=>3=>8	4490	18.0	(1,5),6,9,(8,10),4,3,2,7	(1,5),6,9,(8,10),4,3,(2,7)	(5,3),1,8,(4,10),(2,6,7),9	3,5,(8,4),1,10,2,7,(6,9)			3-4	650.0	3.0
200634072610	ダ	右	1000	晴	良	19:55	ケンタウルス特別 		2006-7-26	3	旭川	2	800万円以下	(規定)	5	2770	7	5	490	8	1	580	9	2.0	450	7.0	1-5	22510	38	5=>1	67040	83.0	1-2-5	47520	85.0	5=>1=>2	491000	557.0			8,(2,5),7,4,(1,6,9),(3,10)	8,5,(2,7),(1,4),9,6,3,10			1-5	33470.0	30.0
200634072611	ダ	右	1600	晴	良	20:30	ベガ特別 		2006-7-26	3	旭川	2	130万円以下	(規定)	4	1030	4	4	250	6	2	140	1	3.0	160	4.0	2-4	1780	5	4=>2	4040	14.0	2-3-4	1180	2.0	4=>2=>3	11420	33.0	8,(3,9),(2,5,6),1,4,7	8,(3,9),2,5,6,1,4,7	3,(8,2),9,1,6,5,4,7	3,2,(8,1),(4,9,6),5,7			2-4	2030.0	7.0
200634072702	ダ	右	1000	晴	良	15:00	D3　ー4組		2006-7-27	3	旭川	3	40万円以下	(規定)	10	260	1	10	130	2	3	120	1	9.0	190	5.0	3-10	750	2	10=>3	1400	6.0	3-9-10	1020	4.0	10=>3=>9	5180	13.0			10,3,(1,6,9),8,(2,5,7),4	10,3,(1,9),(6,8),(2,7),4,5			3-8	590.0	3.0
200634072703	ダ	右	1500	晴	良	15:30	D3　ー1組		2006-7-27	3	旭川	3	40万円以下	(規定)	1	210	1	1	130	1	4	140	2	10.0	310	8.0	1-4	360	1	1=>4	850	1.0	1-4-10	2400	7.0	1=>4=>10	7060	20.0	(1,3,4,9),(6,10),(2,7),(5,8)	1,3,4,9,(6,10),(2,5,7,8)	(1,3),4,8,(9,6,10),(5,7),2	(1,3),4,6,(10,8),9,(5,7),2			1-4	490.0	1.0
200634072704	ダ	右	1000	晴	良	16:00	アタックチャレンジ競		2006-7-27	3	旭川	3	牝(規定)		2	290	1	2	110	1	8	370	7	9.0	290	4.0	2-8	1940	7	2=>8	3390	16.0	2-8-9	11140	37.0	2=>8=>9	30570	98.0			2,(5,3),7,(8,6),(1,9),4	2,(5,3),(7,8),(1,9),(4,6)			2-8	1240.0	5.0
200634072705	ダ	右	1000	晴	良	16:30	フレッシュチャレンジ		2006-7-27	3	旭川	3	(規定)		7	120	1	7	100	1	3	180	3				3-7	390	2	7=>3	500	3.0	1-3-7	660	3.0	7=>3=>1	1500	6.0			(8,7,3),4,1,(6,2)	(7,3),8,(4,1,2),6					
200634072706	ダ	右	1500	晴	良	17:00	アタックチャレンジ競		2006-7-27	3	旭川	3	(規定)		8	210	1	8	100	1	4	130	3	3.0	110	2.0	4-8	360	1	8=>4	600	1.0	3-4-8	320	1.0	8=>4=>3	1300	1.0	8,7,(2,3,4),(1,5),6	8,7,(2,3),4,1,5,6	8,(7,3),4,1,(2,5)-6	8,3,4,1,7,(2,5),6					
200634072707	ダ	右	1000	晴	良	17:30	D2　ー3組		2006-7-27	3	旭川	3	60万円以下	(規定)	9	770	4	9	330	6	2	200	3	8.0	320	5.0	2-9	2260	9	9=>2	4510	20.0	2-8-9	20360	56.0	9=>2=>8	66700	173.0			6,9,4,(3,5,7),1,2,(10,8)	6,9,5,(4,7),(3,1),2,(10,8)			2-8	1630.0	10.0
200634072708	ダ	右	1500	晴	良	18:05	D2　ー3組		2006-7-27	3	旭川	3	60万円以下	(規定)	3	210	1	3	110	1	5	160	4	11.0	130	2.0	3-5	1010	3	3=>5	1080	4.0	3-5-11	720	2.0	3=>5=>11	3240	7.0	3,11,(1,2,6),(4,5,12),10-7,8,9	3,11,6,2,(1,5),12,(4,10),7,8,9	3,11,5,6-2,10,1,12,4,8,7,9	(3,11),5,6,(2,10),1,12,(4,7,8),9			3-5	830.0	4.0
200634072709	ダ	右	1500	晴	良	18:40	D2　ー2組		2006-7-27	3	旭川	3	60万円以下	(規定)	10	340	1	10	180	2	5	510	7	11.0	1,950	11.0	5-10	1800	8	10=>5	3870	17.0	5-10-11	51520	113.0	10=>5=>11	120660	367.0	2,3,(1,6),(5,12),(9,10),7,8,4,11	2,3,(1,6),5,12,9,(7,10),8,4,11	2,3,6,(5,12),(1,10),9,7,(4,8),11	5,(2,6,12,10),(1,3,9),7,(4,8),11			5-7	760.0	1.0
200634072710	ダ	右	1600	晴	良	19:15	AIRーG’特別 		2006-7-27	3	旭川	3	100万円以下	(規定)	9	190	1	9	150	1	2	340	5	12.0	550	8.0	2-9	1740	6	9=>2	1490	5.0	2-9-12	19570	53.0	9=>2=>12	39940	103.0	4,9,12,7,10,(2,3),(1,11),5,(6,8)	4,9,12,7,(2,10),3,(1,11),5,(6,8)	(4,9),(2,12),(1,10),(7,11),3,5,6,8	9,(4,2,12),(1,11),10,7,(3,5),6,8			2-7	1450.0	6.0
200634080101	ダ	右	1000	晴	良	14:30	2歳　未勝利		2006-8-1	3	旭川	4	(規定)		10	140	1	10	120	1	6	730	9	12.0	140	2.0	6-10	15390	23	10=>6	23340	39.0	6-10-12	16210	32.0	10=>6=>12	175460	285.0			6,10,5,12,4,9,3,(2,7,8),11,1	6,10,(4,5,12,9),(3,7),(2,11,8),1			5-7	2500.0	8.0
200634080102	ダ	右	1000	晴	良	15:00	D3　ー5組		2006-8-1	3	旭川	4	40万円以下	(規定)	11	1350	5	11	350	7	4	190	3	2.0	110	1.0	4-11	4820	16	11=>4	11490	33.0	2-4-11	2990	9.0	11=>4=>2	31580	81.0			(2,4,10),(1,9),(8,11),3,(7,6,12)-5	(2,4,10),(1,8,9,11),(3,6),7,12,5			4-8	3050.0	11.0
200634080103	ダ	右	1500	晴	良	15:30	D3　ー2組		2006-8-1	3	旭川	4	40万円以下	(規定)	6	2870	7	6	450	8	3	120	1	2.0	500	9.0	3-6	960	3	6=>3	3700	15.0	2-3-6	21320	51.0	6=>3=>2	79110	222.0	3,4,8,(9,10),6,12,7,11,1,5,2	(3,10),(4,8),9,6,(7,12,11),(1,5),2	3,(4,8,10),(6,9,11),(12,1,5),(7,2)	3,8,(6,10),(4,12,9),(7,2,11,1),5			3-5	1150.0	5.0
200634080104	ダ	右	1000	晴	良	16:00	アタックチャレンジ競		2006-8-1	3	旭川	4	(規定)		6	110	1	6	100	1	3	350	8	10.0	150	2.0	3-6	2520	9	6=>3	2970	9.0	3-6-10	3840	15.0	6=>3=>10	15360	48.0			4,(6,11),12,9,10,3,2,7,8,5,1	6,(4,11),(3,10,9),12,(2,7),(8,5),1			3-5	2390.0	8.0
200634080105	ダ	右	1000	晴	良	16:30	フレッシュチャレンジ		2006-8-1	3	旭川	4	(規定)		3	620	3	3	140	3	2	300	5	6.0	130	2.0	2-3	3150	10	3=>2	3570	14.0	2-3-6	1600	5.0	3=>2=>6	11970	40.0			(1,2),3,4,(7,6),8,5	(1,2,3),(4,6),7,8,5					
200634080106	ダ	右	1000	晴	良	17:00	D2　ー1組		2006-8-1	3	旭川	4	60万円以下	(規定)	1	1540	5	1	330	3	11	2,230	12	7.0	570	7.0	1-11	28220	42	1=>11	126840	98.0	1-7-11	77620	115.0	1=>11=>7	489950	663.0			(1,2),3,(9,10),(4,8,12),11,7,6,5	1,2,3,11,(4,8,10),9,12,(6,7),5			1-8	4610.0	16.0
200634080107	ダ	右	1500	晴	良	17:30	D2　ー1組		2006-8-1	3	旭川	4	60万円以下	(規定)	4	7800	10	4	1,660	10	9	600	4	3.0	810	7.0	4-9	28420	43	4=>9	53090	78.0	3-4-9	71470	108.0	4=>9=>3	358460	535.0	8,3,10,(4,9,7),2,1,(5,6)	8,3,10,(4,7),9,2,1,(5,6)	8,10,(4,7,2),(3,1),9,(5,6)	8,(4,10),(7,2),(3,9,1),(5,6)			4-8	6030.0	17.0
200634080108	ダ	右	1000	晴	良	18:00	D1　ー1組		2006-8-1	3	旭川	4	80万円以下	(規定)	5	1780	6	5	630	7	2	800	9	9.0	820	10.0	2-5	9400	37	5=>2	31110	87.0	2-5-9	72390	131.0	5=>2=>9	230380	614.0			9,(4,5),6,7,2,(1,8,10,11),3	9,5,4,(2,6),(1,8,7),10,(11,3)			2-5	18310.0	29.0
200634080109	ダ	右	2100	晴	良	18:30	SPAT4発売記念特 		2006-8-1	3	旭川	4	200万円以下	(規定)	1	210	1	1	110	1	11	220	4	2.0	450	7.0	1-11	530	1	1=>11	780	1.0	1-2-11	3480	10.0	1=>11=>2	10450	31.0	8,1,(2,3),(5,7,11),6,10,9,12	8,1,(2,3),7,(5,11),(6,10),9,12	(2,8),1,10,(7,3),11,(5,6),9-12	(2,1),8,10,11,7,3,6,5,9,12			1-8	410.0	1.0
