	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連複:的中	三連複:配当	三連複:人気
201053102407	ダ	右	1250	雨	稍重	14:00	3歳5　条件		2010-10-24	8	福山	5	(馬齢)		7	360	2.0	7	130	2	6	160	4	1.0	100	1.0	6-7	1150	5	7=>6	2120	7	7=>6=>1	4340	15	6,7,1,2,(4,8),3,5	67124835	6,7,1,(4,2),8,3,5	(6,7),1,(4,2),8,5,3			1-6-7	250.0	1.0
201053103101	ダ	右	1250	曇	良	10:50	福山・高知連携桝屋清		2010-10-31	9	福山	1	(馬齢)		3	140	1.0	3	100	1	2	110	2	1.0	180	4.0	2-3	150	1	3=>2	180	1	3=>2=>1	660	2	32178564	32178564	3,2-1,7,8,5,6,4	3,2-1,7-8,5,4,6			1-2-3	330.0	2.0
201053103102	ダ	右	1250	曇	良	11:20	C9		2010-10-31	9	福山	1	(馬齢)		6	330	2.0	6	110	1	9	120	2	2.0	130	3.0	6-9	480	2	6=>9	780	2	6=>9=>2	1730	3	6,9,1,8,7,5,(2,3),4	691875324	(6,9)-7,1,3,2,8,4,5	(6,9)-(7,2),3,1,4,5,8			2-6-9	430.0	1.0
201053103103	ダ	右	1130	曇	良	11:50	C8		2010-10-31	9	福山	1	(馬齢)		3	140	1.0	3	100	1	8	250	6	7.0	140	2.0	3-8	500	2	3=>8	410	2	3=>8=>7	1150	3	8,(3,4),7,1,6,5,9	84371569	8,4,3,7,(5,1,6),9	(8,4),(3,7),(1,6),5,9			3-7-8	320.0	1.0
201053103104	ダ	右	1250	雨	良	12:20	福山・高知連携桝屋清		2010-10-31	9	福山	1	(馬齢)		1	560	3.0	1	180	4	4	180	3	5.0	160	2.0	1-4	980	7	1=>4	1710	11	1=>4=>5	3380	7	8,1,5,(2,3,4),6,7	81425367	81452367	18457263			1-4-5	820.0	3.0
201053103105	ダ	右	1250	雨	良	12:50	福山・高知連携桝屋清		2010-10-31	9	福山	1	(馬齢)		3	210	2.0	3	100	2	5	100	1	4.0	120	3.0	3-5	150	1	3=>5	250	1	3=>5=>4	580	1	5,8,2,3,4,1,6-7	5,8,2,3,4,1,6-7	5,3,8,2,(6,4),1,7	5,3-8,(2,6,4),1,7			3-4-5	210.0	1.0
201053103106	ダ	右	1250	雨	良	13:25	C5		2010-10-31	9	福山	1	(馬齢)		7	280	1.0	7	240	2	6	330	3				6-7	630	3	7=>6	930	4	7=>6=>4	1860	4	5734126	5743216	5743216	7,5,4,3,(2,6),1			4-6-7	340.0	1.0
201053103107	ダ	右	1250	雨	稍重	14:00	福山・高知連携桝屋清		2010-10-31	9	福山	1	(馬齢)		1	110	1.0	1	100	1	7	340	4				1-7	660	4	1=>7	730	3	1=>7=>6	3310	13	6,7,2,4,(1,5),3	6,7,2,4,(1,5),3	6712453	6,(7,1),2,4,3,5			1-6-7	1210.0	6.0
201053103108	ダ	右	1600	雨	稍重	14:35	福山・高知連携桝屋清		2010-10-31	9	福山	1	(馬齢)		2	290	3.0	2	100	3	1	100	2	9.0	100	1.0	1-2	270	1	2=>1	670	2	2=>1=>9	990	2	6,9,8,2,(7,1),(3,5),4	9,8,6,(2,1),7,(3,5),4	982176534	9,2,1,8,5,7-4,3,6			1-2-9	210.0	1.0
201053103109	ダ	右	1600	雨	稍重	15:10	3歳1　条件		2010-10-31	9	福山	1	(馬齢)		6	150	1.0	6	160	2	8	1,370	6	4.0	490	4.0	6-8	2070	8	6=>8	3900	11	6=>8=>4	20870	47	7,(8,9),5,6,3,10,2,4-1	7,8,9,5,6,10,3,2,4-1	(8,6),7,(9,10),5,3,2,4,1	68973521041			4-6-8	4240.0	12.0
201053110601	ダ	右	1250	晴	良	10:50	2歳3		2010-11-6	9	福山	2	(馬齢)		6	800	4.0	6	220	5	7	110	1	8.0	190	4.0	6-7	1110	5	6=>7	2990	12	6=>7=>8	30650	89	6,(1,7),(3,4),(2,8,5)	6,7,1,4,3,(8,5),2	6,7,1,4,5,(3,8),2	6,7,1,4,(8,5),3,2			6-7-8	3250.0	11.0
201053110602	ダ	右	1250	晴	良	11:20	2歳2		2010-11-6	9	福山	2	(馬齢)		5	260	1.0	5	100	1	3	350	8	4.0	150	3.0	3-5	2100	9	5=>3	2910	13	5=>3=>4	15570	52	1,2,5,(4,7),(3,6),8	12543768	12543678	5,1,(2,4),3,6,7,8			3-4-5	3560.0	15.0
201053110603	ダ	右	1250	晴	良	11:50	2歳1		2010-11-6	9	福山	2	(別定)		8	240	1.0	8	120	1	5	400	6	7.0	190	4.0	5-8	2610	10	8=>5	4280	15	8=>5=>7	36890	91	1,8,7,2,(4,6),3,5	18726435	18273645	18273645			5-7-8	6330.0	19.0
201053110604	ダ	右	1130	晴	良	12:20	福山・高知連携桝屋清		2010-11-6	9	福山	2	(馬齢)		2	1300	5.0	2	250	6	4	140	1	6.0	160	3.0	2-4	1750	7	2=>4	5530	21	2=>4=>6	29450	97	4,(5,7),(1,2),6,3,8	45712638	42517638	42516783			2-4-6	1590.0	7.0
201053110605	ダ	右	1250	晴	良	12:50	C2		2010-11-6	9	福山	2	(馬齢)		8	510	2.0	8	130	2	5	270	7	7.0	110	1.0	5-8	10040	19	8=>5	19170	31	8=>5=>7	92420	144	74513628	7,4-5,1,(3,6),2,8	7,4,5-1,3,(6,8),2	74583216			5-7-8	4640.0	15.0
201053110606	ダ	右	1250	晴	良	13:25	C1		2010-11-6	9	福山	2	(馬齢)		4	410	3.0	4	210	3	8	460	6	6.0	990	9.0	4-8	6410	19	4=>8	10390	25	4=>8=>6	821740	377	1,(2,3),4,6,9,5,7,8	123649578	1,(2,3),4,6,5,9,7,8	4,1,2,6,3,5,(7,8),9			4-6-8	74200.0	65.0
201053110607	ダ	右	1250	晴	良	14:00	3歳4　条件		2010-11-6	9	福山	2	(馬齢)		3	310	2.0	3	100	2	6	240	5	2.0	100	1.0	3-6	2490	7	3=>6	4940	14	3=>6=>2	15940	38	365182497	3,6,5,2,1,(4,8),9,7	3,6,5,2,(1,4),9,8,7	365249187			2-3-6	1350.0	4.0
201053110608	ダ	右	1250	晴	良	14:35	3歳3　条件		2010-11-6	9	福山	2	(馬齢)		6	280	2.0	6	150	2	3	190	5	1.0	170	4.0	3-6	610	3	6=>3	1040	6	6=>3=>1	10410	35	6,3,(5,8),1,4,2,9,10	6381542910	6381542910	6,3,1,(8,5),4,2,10,9			1-3-6	2630.0	9.0
201053110701	ダ	右	1250	曇	稍重	10:50	2歳5		2010-11-7	9	福山	3	(馬齢)		4	120	1.0	4	100	1	2	120	2				2-4	150	1	4=>2	190	1	4=>2=>5	630	2	2,4,5,1,(6,7),3	2451673	(2,4),5-1,7,6-3	4,2,5-1-7,6,3			2-4-5	430.0	2.0
201053110702	ダ	右	1250	曇	稍重	11:20	2歳4		2010-11-7	9	福山	3	(馬齢)		7	160	1.0	7	100	1	8	200	5	3.0	180	3.0	7-8	390	2	7=>8	550	2	7=>8=>3	2150	7	2,4,5,1,6,(7,8),3	2,(7,8),4,1,5,3,6	2,7,8,(4,3),1,6,5	7,8,2,3-1,6,4,5			3-7-8	1220.0	4.0
201053110703	ダ	右	1130	曇	稍重	11:50	3歳7　条件		2010-11-7	9	福山	3	(馬齢)		2	220	1.0	2	120	1	8	340	7	4.0	190	4.0	2-8	2060	10	2=>8	2890	12	2=>8=>4	26120	81	78439510126	78345291061	8,(4,5),7,3,2,10,6,9,1	84523710619			2-4-8	3030.0	11.0
201053111401	ダ	右	1250	曇	良	10:50	C9		2010-11-14	9	福山	4	(馬齢)		4	160	1.0	4	150	2	1	260	3				1-4	320	2	4=>1	470	2	4=>1=>5	960	4	4753162	4,7-5,1,3,2,6	4-7,5,1-3,6,2	4-1,5,7-(3,6),2			1-4-5	500.0	3.0
201053111402	ダ	右	1250	曇	良	11:20	C8		2010-11-14	9	福山	4	(馬齢)		5	100	1.0	5	100	1	2	150	3	3.0	100	2.0	2-5	450	3	5=>2	560	3	5=>2=>3	1420	6	15347268	1,5,3,4,2,(6,7),8	51234687	5,2,(3,4,6),1,8,7			2-3-5	730.0	3.0
201053111403	ダ	右	1130	曇	良	11:50	C7		2010-11-14	9	福山	4	(馬齢)		5	180	1.0	5	100	1	3	190	4	8.0	140	3.0	3-5	700	3	5=>3	1300	4	5=>3=>8	4400	14	82165374	8,2,1,5,6,3,7-4	(8,2),(1,5),6,3,7-4	8,2,3,5,(1,6),7,4			3-5-8	1770.0	7.0
201053111404	ダ	右	1250	曇	良	12:20	C6		2010-11-14	9	福山	4	(馬齢)		4	760	5.0	4	230	4	8	130	2	1.0	260	6.0	4-8	1010	5	4=>8	2210	12	4=>8=>1	11390	60	13762854	13278564	12738546	12874536			1-4-8	1490.0	8.0
201053111405	ダ	右	1250	曇	良	12:50	3歳5　条件		2010-11-14	9	福山	4	(馬齢)		6	1920	5.0	6	290	3	5	280	2				5-6	3600	11	6=>5	7490	16	6=>5=>1	55940	96	5,7,(1,2),6,3,4	5,7,1,(2,6),3,4	5761423	5761423			1-5-6	5130.0	16.0
201053111406	ダ	右	1250	曇	良	13:25	3歳4　条件		2010-11-14	9	福山	4	(馬齢)		8	6080	6.0	8	630	7	7	330	4	4.0	1,070	8.0	7-8	13630	17	8=>7	53550	36	8=>7=>4	1630030	302	5,7,(2,3,6),8,1,4	57623184	5,7,(6,2),8,1,3,4	75261843			4-7-8	55080.0	42.0
201053111407	ダ	右	1250	曇	良	14:00	3歳3　条件		2010-11-14	9	福山	4	(馬齢)		3	460	3.0	3	140	3	8	100	1	1.0	130	2.0	3-8	280	1	3=>8	570	2	3=>8=>1	1540	2	(3,8),(1,4),7,2,6,5	3,8,1,4,(2,7),6,5	3,8,1,4,(2,7),6,5	38127456			1-3-8	470.0	1.0
201053111408	ダ	右	1250	曇	良	14:35	3歳2　条件		2010-11-14	9	福山	4	(馬齢)		8	170	1.0	8	140	2	5	420	6	1.0	300	5.0	5-8	1640	7	8=>5	2590	10	8=>5=>1	19320	57	(1,8),9,3,4,5,2,7,6	1,8,9,3,4,(2,5),6,7	(1,8),9-(3,4),5,2,6,7	819546327			1-5-8	4580.0	17.0
201053111409	ダ	右	1600	曇	良	15:10	磯菊特別 		2010-11-14	9	福山	4	(別定)		1	240	2.0	1	110	2	5	100	1				1-5	170	1	1=>5	490	2	1=>5=>4	3700	11	5,3-2,4,7,1	532471	534127	514327			1-4-5	900.0	4.0
201053111410	ダ	右	1600	曇	良	15:50	福山大賞典トライアル 		2010-11-14	9	福山	4	(別定)		7	1310	5.0	7	340	4	4	380	6	2.0	190	3.0	4-7	6640	24	7=>4	14950	49	7=>4=>2	69610	244	4,5,1,(3,6),2,7,8	45136278	4,5,1,(3,7),2,6,8	4,(1,5,7),(2,3),6,8			2-4-7	9550.0	43.0
201053111411	ダ	右	1250	曇	良	16:30	3歳1　条件		2010-11-14	9	福山	4	(馬齢)		2	130	1.0	2	100	1	6	110	2	4.0	200	5.0	2-6	300	1	2=>6	370	1	2=>6=>4	2360	5	148259673	1,4,8,2,9,(6,5),7,3	(1,4),2,8,6,9,7,5,3	421687935			2-4-6	1340.0	4.0
201053112001	ダ	右	1250	晴	良	10:50	2歳4		2010-11-20	9	福山	5	(馬齢)		1	340	3.0	1	170	2	4	260	4				1-4	1000	5	1=>4	1300	6	1=>4=>6	7130	23	2461375	2,4,1,6,3,(5,7)	(2,4),6,1,3,7,5	2,4,6,1-3,7,5			1-4-6	1340.0	4.0
201053112002	ダ	右	1250	晴	良	11:20	2歳3		2010-11-20	9	福山	5	(馬齢)		2	290	2.0	2	190	3	7	130	1				2-7	180	1	2=>7	440	2	2=>7=>6	1160	4	4721365	4723165	(7,2),(4,3),6,5,1	2,7,3,4,6,5-1			2-6-7	430.0	2.0
201053112003	ダ	右	1250	晴	良	11:50	2歳2		2010-11-20	9	福山	5	(馬齢)		2	170	1.0	2	130	1	7	130	2				2-7	260	1	2=>7	380	1	2=>7=>4	1790	3	2756143	2756143	2756413	2745631			2-4-7	840.0	3.0
201053112004	ダ	右	1250	晴	良	12:20	2歳1		2010-11-20	9	福山	5	(別定)		2	110	1.0	2	100	2	3	100	1	7.0	170	5.0	2-3	360	1	2=>3	400	1	2=>3=>7	1730	3	12876435	12847365	(1,2),8,4,(3,7),6,5	21378465			2-3-7	640.0	1.0
201053112005	ダ	右	1130	晴	良	12:50	3歳8　条件		2010-11-20	9	福山	5	(馬齢)		2	680	4.0	2	320	5	8	120	2	6.0	140	3.0	2-8	1980	8	2=>8	4150	14	2=>8=>6	18300	52	18562743	1,8,5,(2,6),7,4,3	1,8,5,(2,6)-7,4,3	1,8,5,6,2=7,4,3			2-6-8	1230.0	5.0
201053112006	ダ	右	1250	晴	良	13:25	3歳7　条件		2010-11-20	9	福山	5	(馬齢)		4	180	1.0	4	130	2	8	120	1	2.0	260	6.0	4-8	470	2	4=>8	650	2	4=>8=>2	4060	14	7,8,4,2,1,3,6-5	78421365	78423165	4,7,8,2,(3,6)-1,5			2-4-8	1360.0	6.0
201053112007	ダ	右	1250	晴	良	14:00	3歳6　条件		2010-11-20	9	福山	5	(馬齢)		1	130	1.0	1	120	1	4	400	5	7.0	140	3.0	1-4	1020	4	1=>4	1580	5	1=>4=>7	2720	7	15462738	15462738	1-4,7,6,5,2,8,3	1-4,7,6,2,3,8,5			1-4-7	730.0	2.0
201053112008	ダ	右	1600	晴	良	14:35	かえで特別 		2010-11-20	9	福山	5	(馬齢)		9	550	3.0	9	180	3	4	380	5	1.0	450	8.0	4-9	3810	14	9=>4	6060	20	9=>4=>1	84720	176	459678123	4,5,9,6,7,8,1,(2,3)	(4,5,6,7),9,8,1,3,2	4,9,5,(6,7),8,1,3,2			1-4-9	10750.0	32.0
201053112009	ダ	右	1250	晴	良	15:10	プライドストーリー第		2010-11-20	9	福山	5	(馬齢)		3	110	1.0	3	110	1	9	150	2	4.0	240	5.0	3-9	430	1	3=>9	480	1	3=>9=>4	1850	5	317945268	319745268	3,1,9,(7,4),5,2,6,8	391542876			3-4-9	1000.0	5.0
201053112010	ダ	右	1600	晴	良	15:50	しずない産米「万馬券 		2010-11-20	9	福山	5	(別定)		1	190	1.0	1	100	1	8	100	2	2.0	160	4.0	1-8	200	1	1=>8	330	1	1=>8=>2	1490	5	3,8,4,7,(1,5),(2,6)	3,8,4,7,(1,5),2,6	8,(4,7),1,3,5,2,6	81472536			1-2-8	680.0	2.0
201053112701	ダ	右	1250	晴	良	10:50	「おはようモーニング		2010-11-27	10	福山	1	(馬齢)		7	100	1.0	7	100	1	8	760	8	2.0	120	2.0	7-8	7940	7	7=>8	5690	8	7=>8=>2	19810	24	73851624	7,8,3,(5,6),1,2,4	78365241	78623451			2-7-8	4780.0	8.0
201053112702	ダ	右	1250	晴	良	11:20	福山・高知連携岩崎弥		2010-11-27	10	福山	1	(馬齢)		2	270	2.0	2	150	2	1	110	1				1-2	170	1	2=>1	520	2	2=>1=>5	1130	3	1253476	1,2,(3,5),4,6,7	1,2,5,3,4,(6,7)	1,2,5,3,6,(4,7)			1-2-5	150.0	1.0
201053112703	ダ	右	1250	晴	良	11:50	C9		2010-11-27	10	福山	1	(馬齢)		7	280	2.0	7	130	2	3	100	1	4.0	200	5.0	3-7	360	1	7=>3	1240	4	7=>3=>4	5510	19	38461725	38467125	3,8,(4,6),7,(1,2),5	3,7,(4,8,6),2,1,5			3-4-7	1130.0	4.0
201053112704	ダ	右	1130	晴	良	12:20	3歳4　条件		2010-11-27	10	福山	1	(馬齢)		8	250	2.0	8	130	2	2	170	4	6.0	100	1.0	2-8	1460	6	8=>2	3490	13	8=>2=>6	5650	20	1,7,8,2,3,6,4-5	1,(7,8),2,3,6,4=5	1,8,7,2,6,4,3=5	1,8,2,7,6,4,3-5			2-6-8	560.0	1.0
201053112705	ダ	右	1250	晴	良	12:50	3歳3　条件		2010-11-27	10	福山	1	(馬齢)		5	210	1.0	5	380	5	8	360	4	1.0	440	6.0	5-8	950	2	5=>8	1490	3	5=>8=>1	13840	44	4,5,8,1,(3,6,9),2,7	458196327	458913627	(4,5),8,1,(3,6,9),2,7			1-5-8	2920.0	12.0
201053112706	ダ	右	1250	晴	良	13:25	C8		2010-11-27	10	福山	1	(馬齢)		6	260	2.0	6	190	2	7	450	5				6-7	1150	4	6=>7	1500	7	6=>7=>3	3910	11	7164253	7164235	7164325	7613425			3-6-7	1230.0	4.0
201053112707	ダ	右	1250	晴	良	14:00	C7		2010-11-27	10	福山	1	(馬齢)		6	180	1.0	6	100	1	8	110	2	1.0	140	4.0	6-8	240	1	6=>8	400	1	6=>8=>1	870	1	67143852	6,7,1,(3,4,8),5,2	67813452	68713542			1-6-8	350.0	1.0
201053112708	ダ	右	1600	晴	良	14:35	3歳2　条件		2010-11-27	10	福山	1	(馬齢)		4	640	3.0	4	250	3	6	270	5	7.0	170	2.0	4-6	2070	9	4=>6	4940	23	4=>6=>7	23930	84	472968315	4,7,2,(6,9,8),3,(1,5)	(4,7),6,8,2,5,1,9,3	4,7,6,(2,8,1,5),3,9			4-6-7	3050.0	10.0
201053112709	ダ	右	1600	晴	良	15:10	3歳1　条件		2010-11-27	10	福山	1	(馬齢)		1	1800	8.0	1	300	6	10	180	3	9.0	130	1.0	1-10	2980	11	1=>10	9210	30	1=>10=>9	35870	90	4,6,7,2,9,1,(3,8),5,10	46729183510	4,(7,2),9,1,(8,5),3,6,10	4,2,7,(1,9),5,8,10,3-6			1-9-10	1970.0	6.0
201053112801	ダ	右	1250	晴	良	10:50	「おはようモーニング		2010-11-28	10	福山	2	(馬齢)		6	110	1.0	6	100	1	5	100	2	7.0	170	4.0	5-6	110	1	6=>5	190	1	6=>5=>7	610	2	1,3,2,5,(4,6),8,7	13256487	5,1,(3,6),2,4,8,7	(5,6)-1,3,2,7,4,8			5-6-7	310.0	1.0
201053120501	ダ	右	1250	晴	稍重	10:50	「おはようモーニング		2010-12-5	10	福山	3	(馬齢)		3	570	3.0	3	160	3	6	110	1	7.0	300	7.0	3-6	480	2	3=>6	1540	6	3=>6=>7	7050	22	8,4,1,6,(2,5),3,7	8,4,6,1,5,2,3-7	84651327	85643172			3-6-7	1440.0	4.0
201053120502	ダ	右	1250	晴	稍重	11:20	3歳6　条件		2010-12-5	10	福山	3	(馬齢)		2	300	2.0	2	150	3	5	100	1	3.0	170	4.0	2-5	360	1	2=>5	510	2	2=>5=>3	2610	7	28516374	28516374	2,(1,8,5),6,3,7,4	2583674			2-3-5	670.0	3.0
201053120503	ダ	右	1250	晴	稍重	11:50	3歳7　条件		2010-12-5	10	福山	3	(馬齢)		7	180	1.0	7	100	1	8	110	2	2.0	120	3.0	7-8	240	1	7=>8	350	1	7=>8=>2	690	1	7,8,2,4-1,5,6,3	7,8,2,4,1-5,6,3	7,8,2,4-1-6,5-3	7,8,2,4,1,6,5-3			2-7-8	340.0	1.0
201053120504	ダ	右	1130	晴	稍重	12:20	福山・高知連携岩崎弥		2010-12-5	10	福山	3	(馬齢)		4	660	4.0	4	180	4	2	130	2	1.0	140	3.0	2-4	1190	5	4=>2	3360	13	4=>2=>1	10590	37	12384567	12345867	12453867	12485637			1-2-4	1100.0	4.0
201053120505	ダ	右	1250	晴	稍重	12:50	C1		2010-12-5	10	福山	3	(馬齢)		3	170	1.0	3	100	1	4	270	8	2.0	140	2.0	3-4	1700	6	3=>4	1800	8	3=>4=>2	7770	25	3,1,7,(6,8),2,4,5	3,(1,7),8,6,4,2,5	37184265	3-7,(8,4),2,(5,6),1			2-3-4	1650.0	6.0
201053120506	ダ	右	1600	晴	稍重	13:25	B6		2010-12-5	10	福山	3	(馬齢)		9	1650	6.0	9	240	4	5	140	1	4.0	260	6.0	5-9	1860	8	9=>5	5580	21	9=>5=>4	31620	91	7,8-2,(4,9),6,1,5-3	782496513	8,7,(4,9),2,6,5,1,3	9,8,(4,5),6,7,2,3,1			4-5-9	2520.0	10.0
201053120507	ダ	右	1600	晴	稍重	14:00	B5		2010-12-5	10	福山	3	(馬齢)		5	240	1.0	5	130	2	3	190	4	1.0	110	1.0	3-5	800	3	5=>3	1150	4	5=>3=>1	2560	5	123589746	1,(3,2),5,8,9,7,4,6	1,5,3,(2,9,7),6,8,4	5,1,3,9,6,7,(8,4),2			1-3-5	410.0	1.0
201053120508	ダ	右	1600	晴	稍重	14:35	やつで特別 		2010-12-5	10	福山	3	(馬齢)		8	240	1.0	8	120	1	2	300	7	6.0	230	5.0	2-8	560	2	8=>2	820	3	8=>2=>6	2970	9	1,7,(2,4),8,(3,5),6	1,7,4,2,8,(3,5),6	7,1,8,(2,4),(6,3,5)	78246153			2-6-8	750.0	3.0
201053120509	ダ	右	1600	晴	稍重	15:10	くわい特別 		2010-12-5	10	福山	3	(馬齢)		5	1050	4.0	5	230	6	4	220	4	2.0	150	2.0	4-5	1570	7	5=>4	3810	15	5=>4=>2	17090	62	46812537	46815273	4,6,(5,1,2),8,7,3	4,6,5,2,1,(7,3),8			2-4-5	1910.0	10.0
201053120510	ダ	右	1800	晴	稍重	15:50	福山王冠	G	2010-12-5	10	福山	3	(馬齢)		4	470	2.0	4	140	2	7	540	7	1.0	430	5.0	4-7	6770	12	4=>7	10230	17	4=>7=>1	204540	151	4,7,(1,5),9,3,2,8,6	471589326	4,7,1,8,5,3,2-9,6	4-(1,7),8,3,5,2,9,6			1-4-7	34480.0	38.0
201053121101	ダ	右	1250	雨	稍重	10:50	「おはようモーニング		2010-12-11	11	福山	1	(馬齢)		5	100	1.0	5	100	1	3	100	2	8.0	170	5.0	3-5	220	1	5=>3	220	1	5=>3=>8	1070	3	598146327	598143627	5,9,8,3,1,4,(2,7),6	5,3,8,1,9,2,(7,4),6			3-5-8	560.0	2.0
201053121102	ダ	右	1250	曇	稍重	11:20	C　10		2010-12-11	11	福山	1	(馬齢)		8	160	1.0	8	100	2	1	130	3	6.0	100	1.0	1-8	1420	5	8=>1	1580	6	8=>1=>6	3800	13	78263145	7,8,6,2,(1,3),4,5	8,6,7,1,(2,3),4,5	86713245			1-6-8	330.0	2.0
201053121103	ダ	右	1250	曇	稍重	11:50	C9		2010-12-11	11	福山	1	(馬齢)		1	120	1.0	1	100	1	9	200	4	8.0	170	3.0	1-9	320	1	1=>9	370	1	1=>9=>8	900	2	1,(2,7),8,4,9,5,3,6	1,7,2,8,4,(5,9),3,6	1,8,(7,9),2,4,(5,6),3	1-8,9,(4,6),7,5,2,3			1-8-9	480.0	2.0
201053121104	ダ	右	1130	曇	稍重	12:20	C7		2010-12-11	11	福山	1	(馬齢)		9	170	1.0	9	100	1	6	180	3	5.0	230	4.0	6-9	400	1	9=>6	470	1	9=>6=>5	1630	1	589167243	589162743	589612743	5,8,6,9,1,2,(4,7),3			5-6-9	590.0	1.0
201053121105	ダ	右	1250	曇	稍重	12:50	C6		2010-12-11	11	福山	1	(馬齢)		2	160	1.0	2	100	1	6	140	4	8.0	130	3.0	2-6	700	3	2=>6	810	4	2=>6=>8	3080	11	26831754	26381754	26837154	26837541			2-6-8	1250.0	4.0
201053121106	ダ	右	1250	曇	稍重	13:25	C5		2010-12-11	11	福山	1	(馬齢)		8	110	1.0	8	100	1	3	140	3	7.0	120	2.0	3-8	420	2	8=>3	410	2	8=>3=>7	790	2	1,7,8,3,2,5,(4,6)	17832564	(1,7),8,3,2,5,6,4	87134562			3-7-8	220.0	1.0
201053121107	ダ	右	1600	曇	稍重	14:00	2歳3		2010-12-11	11	福山	1	(馬齢)		1	190	1.0	1	150	2	8	180	4	2.0	230	5.0	1-8	400	1	1=>8	710	3	1=>8=>2	2560	5	1,4,(8,6),(5,7),2,3	14865723	1,4,8,6,5,2,7-3	1,8,4,2,6,5,7-3			1-2-8	860.0	3.0
201053121108	ダ	右	1600	曇	稍重	14:35	2歳2		2010-12-11	11	福山	1	(馬齢)		1	180	1.0	1	110	1	2	250	5	3.0	230	4.0	1-2	1350	6	1=>2	2820	12	1=>2=>3	5360	13	35914672	35914762	(3,5),1,(7,2),4,6,9	13254769			1-2-3	1210.0	5.0
201053121109	ダ	右	1600	曇	稍重	15:10	2歳1		2010-12-11	11	福山	1	(別定)		8	850	2.0	8	140	2	4	100	1	9.0	350	7.0	4-8	320	1	8=>4	1680	7	8=>4=>9	12150	35	3,4-8,5,6,1,9,2,7	(3,4)-8,5,6,1,9,2,7	4,3,8-5,6,9,1,(7,2)	483519627			4-8-9	1580.0	7.0
201053121110	ダ	右	1600	曇	稍重	15:50	冬銀河特別 		2010-12-11	11	福山	1	(別定)		8	2920	6.0	8	180	3	9	100	1	2.0	220	4.0	8-9	2680	8	8=>9	8830	23	8=>9=>2	109410	178	6,1,8,2,9,(4,5),7,3	618925473	(8,9),6,1,2,5,7,4,3	896215743			2-8-9	7180.0	21.0
201053121111	ダ	右	1600	曇	稍重	16:30	カトレア特別 		2010-12-11	11	福山	1	(別定)		4	210	2.0	4	190	3	1	280	6	2.0	210	4.0	1-4	1500	7	4=>1	2460	9	4=>1=>2	9450	30	46185273	46185273	(4,7),6,1,5,8,2,3	4,7,1,5,6,2,3-8			1-2-4	1700.0	6.0
201053121201	ダ	右	1250	晴	稍重	10:50	「おはようモーニング		2010-12-12	11	福山	2	(馬齢)		7	150	1.0	7	100	1	5	100	2	3.0	110	3.0	5-7	320	2	7=>5	350	2	7=>5=>3	410	2	1,2,5,(3,4),8,6,7	1,2,5,3,(8,7),6,4	2,1,5,(3,7),6,4,8	5,2,7,1,(6,3),4,8			3-5-7	180.0	1.0
201053121202	ダ	右	1130	晴	稍重	11:20	C4		2010-12-12	11	福山	2	(馬齢)		7	4820	6.0	7	1,730	8	3	110	1	8.0	410	6.0	3-7	2820	11	7=>3	17890	28	7=>3=>8	108920	144	7,8,6,3,(4,5),1,2	78364512	78364512	78364152			3-7-8	15790.0	30.0
201053121203	ダ	右	1250	晴	良	11:50	C2		2010-12-12	11	福山	2	(馬齢)		8	130	1.0	8	110	1	3	370	6	5.0	230	3.0	3-8	1430	6	8=>3	2500	11	8=>3=>5	8900	32	78231564	78321456	(7,8),3,2,1,4,5,6	83721456			3-5-8	1820.0	7.0
201053121204	ダ	右	1250	晴	良	12:20	C1		2010-12-12	11	福山	2	(馬齢)		5	650	3.0	5	180	4	2	210	5	7.0	100	1.0	2-5	1640	10	5=>2	3920	19	5=>2=>7	10960	50	2,3,5,(4,8),1,7,6	2,3,(1,4,5),6,8,7	23541768	2,3,5,(1,4,7),6,8			2-5-7	1370.0	7.0
201053121205	ダ	右	1250	晴	良	12:50	B6		2010-12-12	11	福山	2	(馬齢)		2	13950	7.0	2	670	6	7	310	3				2-7	3860	12	2=>7	19910	28	2=>7=>4	132560	147	1,3,4,5,(2,7),6	1342756	1347265	(3,4),1,(2,7),6,5			2-4-7	9020.0	19.0
201053121206	ダ	右	1250	晴	良	13:25	B5		2010-12-12	11	福山	2	(馬齢)		6	130	1.0	6	110	1	7	180	2				6-7	220	1	6=>7	300	1	6=>7=>5	6320	18	6231475	6,(2,3),1,4,7,5	623175	6-2,7,(5,1)-3			5-6-7	2870.0	10.0
201053121207	ダ	右	1250	晴	良	14:00	3歳2　条件		2010-12-12	11	福山	2	(馬齢)		1	2010	7.0	1	180	5	7	160	1	2.0	480	8.0	1-7	1350	5	1=>7	4560	17	1=>7=>2	100440	214	46710139258	46710139258	(6,7),4,1,10,(2,3),9,5,8	(6,7),1,2,10,9,4,3,8,5			1-2-7	11250.0	34.0
