	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	枠単:的中	枠単:配当	枠単:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気
201247012706	ダ	右	1400	晴	良	13:40	サラ系C8組		2012-1-27	18	笠松	5			1.0	220.0	1.0	1.0	140	1.0	9.0	190	5.0	7.0	140	3.0	1-8	800.0	3.0	1-9	720.0	3.0	1=>8	1120.0	4.0	1=>9	1500.0	6.0	1-7-9	750.0	2.0	1=>9=>7	4350.0	11.0		73911045628.0	73915461028.0	73915641028.0											
201247012707	ダ	右	1600	晴	良	14:10	サラ系C6組		2012-1-27	18	笠松	5			5.0	1290.0	5.0	5.0	200	3.0	6.0	160	2.0	2.0	230	5.0	5-6	3510.0	8.0	5-6	2950.0	10.0	5=>6	6550.0	14.0	5=>6	8020.0	16.0	2-5-6	5620.0	17.0	5=>6=>2	32570.0	76.0		86352101974	8,6,3,5,2,1,10,9,7-4	6,8,5,2,3,9,1,10,7=4											
201247012708	ダ	右	1400	晴	良	14:40	サラ系C7組		2012-1-27	18	笠松	5			9.0	250.0	2.0	9.0	130	3.0	3.0	100	1.0	2.0	130	2.0	3-8	360.0	1.0	3-9	540.0	2.0	8=>3	1390.0	5.0	9=>3	1200.0	4.0	2-3-9	570.0	1.0	9=>3=>2	2450.0	2.0		49316278510.0	49316278510.0	49321678510.0											
201247012709	ダ	右	1600	晴	良	15:10	東海クラウン 		2012-1-27	18	笠松	5			9.0	1250.0	5.0	9.0	260	6.0	8.0	140	3.0	3.0	110	1.0	8-8	3420.0	11.0	8-9	3620.0	11.0	8=>8	3640.0	16.0	9=>8	8460.0	26.0	3-8-9	1680.0	6.0	9=>8=>3	25380.0	76.0		796384512.0	793684521.0	793845621.0											
201247021301	ダ	右	1400	曇	良	11:00	サラ系C35組牝馬		2012-2-13	19	笠松	1	牝		4.0	450.0	2.0	4.0	100	1.0	5.0	120	2.0	9.0	230	6.0	4-5	210.0	1.0	4-5	330.0	1.0	4=>5	520.0	2.0	4=>5	860.0	3.0	4-5-9	570.0	2.0	4=>5=>9	1340.0	2.0		45910326817.0	45910326817.0	45931062781.0											
201247021302	ダ	右	1400	曇	良	11:30	サラ系C34組		2012-2-13	19	笠松	1			5.0	7630.0	7.0	5.0	780	7.0	7.0	110	1.0	6.0	330	6.0	5-7	10220.0	17.0	5-7	5690.0	16.0	5=>7	27110.0	38.0	5=>7	23320.0	36.0	5-6-7	12530.0	29.0	5=>7=>6	125900.0	175.0		579628134.0	579623184.0	579623184.0											
201247021303	ダ	右	1400	曇	良	12:05	サラ系C33組		2012-2-13	19	笠松	1			4.0	100.0	1.0	4.0	110	2.0	1.0	100	1.0	7.0	230	6.0	1-4	400.0	1.0	1-4	350.0	1.0	4=>1	520.0	2.0	4=>1	410.0	1.0	1-4-7	650.0	3.0	4=>1=>7	2340.0	10.0		743619825	7,4-3,1,6,9,2,5,8	741329568											
201247021304	ダ	右	1400	曇	良	12:40	北川夏子さん誕		2012-2-13	19	笠松	1			8.0	1070.0	3.0	8.0	160	3.0	9.0	130	2.0	10.0	750	9.0	7-8	340.0	2.0	8-9	460.0	2.0	7=>8	1000.0	5.0	8=>9	1180.0	5.0	8-9-10	2330.0	8.0	8=>9=>10	13670.0	24.0		17859103246.0	17891035246.0	81910357246.0											
201247021305	ダ	右	800	曇	良	13:15	第25弾頑張れ笠松競		2012-2-13	19	笠松	1			4.0	1190.0	4.0	4.0	140	3.0	7.0	110	1.0	1.0	190	4.0	4-7	860.0	3.0	4-7	950.0	3.0	4=>7	2610.0	10.0	4=>7	2310.0	8.0	1-4-7	2150.0	7.0	4=>7=>1	15460.0	38.0				41756810923.0											
201247021401	ダ	右	1400	曇	稍重	11:00	サラ系3歳6組		2012-2-14	19	笠松	2			4.0	140.0	1.0	4.0	120	1.0	7.0	180	3.0	10.0	200	4.0	4-7	450.0	2.0	4-7	570.0	2.0	4=>7	580.0	1.0	4=>7	620.0	3.0	4-7-10	1240.0	6.0	4=>7=>10	2130.0	3.0		74182395610.0	74812365910.0	74812635910.0											
201247021402	ダ	右	1400	雨	稍重	11:30	サラ系3歳5組		2012-2-14	19	笠松	2			7.0	680.0	2.0	7.0	270	5.0	2.0	120	1.0	1.0	140	3.0	2-7	2500.0	8.0	2-7	2120.0	8.0	7=>2	3520.0	10.0	7=>2	3720.0	15.0	1-2-7	3470.0	13.0	7=>2=>1	20580.0	62.0		128375496.0	128734596.0	218793456.0											
201247021403	ダ	右	1400	雨	稍重	12:00	サラ系C27組		2012-2-14	19	笠松	2			5.0	280.0	2.0	5.0	130	3.0	8.0	100	2.0	10.0	100	1.0	5-7	1250.0	4.0	5-8	840.0	4.0	5=>7	2300.0	9.0	5=>8	1840.0	8.0	5-8-10	220.0	1.0	5=>8=>10	2960.0	11.0		81013952674.0	81051392674.0	81053192674.0											
201247021404	ダ	右	1400	雨	稍重	12:30	サラ系C26組		2012-2-14	19	笠松	2			9.0	650.0	2.0	9.0	100	2.0	1.0	100	1.0	6.0	170	4.0	1-8	250.0	1.0	1-9	190.0	1.0	8=>1	1150.0	6.0	9=>1	960.0	4.0	1-6-9	370.0	1.0	9=>1=>6	1300.0	3.0		59836712410.0	59836172410.0	59816372410.0											
201247021405	ダ	右	1400	雨	稍重	13:05	サラ系C25組		2012-2-14	19	笠松	2			4.0	150.0	1.0	4.0	100	2.0	5.0	100	1.0	9.0	120	3.0	4-5	200.0	1.0	4-5	170.0	1.0	4=>5	270.0	1.0	4=>5	270.0	1.0	4-5-9	180.0	1.0	4=>5=>9	520.0	1.0		45819736210.0	45918732610.0	45917832610.0											
201247021406	ダ	右	1400	雨	稍重	13:35	サラ系C24組		2012-2-14	19	笠松	2			4.0	120.0	1.0	4.0	100	1.0	10.0	100	2.0	2.0	100	3.0	4-8	140.0	1.0	4-10	150.0	1.0	4=>8	220.0	1.0	4=>10	200.0	1.0	2-4-10	310.0	1.0	4=>10=>2	590.0	1.0		41082971356.0	41082179356.0	41028173956.0											
201247021407	ダ	右	1400	雨	重	14:05	サラ系C23組牝馬		2012-2-14	19	笠松	2	牝		10.0	270.0	2.0	10.0	100	1.0	1.0	100	2.0	4.0	140	4.0	1-8	130.0	1.0	1-10	160.0	1.0	8=>1	320.0	2.0	10=>1	420.0	2.0	1-4-10	270.0	1.0	10=>1=>4	910.0	3.0		21036947518.0	21096431758.0	10124965738.0											
201247021408	ダ	右	1600	雨	重	14:40	日本ベンダーネ		2012-2-14	19	笠松	2			5.0	160.0	1.0	5.0	130	2.0	10.0	140	3.0	8.0	180	4.0	5-8	170.0	1.0	5-10	320.0	1.0	5=>8	250.0	1.0	5=>10	690.0	2.0	5-8-10	490.0	2.0	5=>10=>8	1860.0	6.0		4510892361	4510892361	5,10,4,8,9,2,3-6-1											
201247021409	ダ	右	1600	雨	重	15:50	バレンタイン特別 		2012-2-14	19	笠松	2			8.0	2130.0	6.0	8.0	520	6.0	10.0	150	2.0	1.0	160	4.0	7-8	730.0	2.0	8-10	4220.0	11.0	7=>8	2040.0	6.0	8=>10	10670.0	26.0	1-8-10	7550.0	20.0	8=>10=>1	104750.0	156.0		68731014259.0	68710543129.0	86110354729.0											
201247021501	ダ	右	1400	曇	不良	11:00	サラ系3歳4組		2012-2-15	19	笠松	3			6.0	530.0	3.0	6.0	260	4.0	3.0	150	2.0	10.0	330	6.0	3-6	890.0	5.0	3-6	820.0	5.0	6=>3	1710.0	8.0	6=>3	1880.0	11.0	3-6-10	6660.0	15.0	6=>3=>10	32440.0	77.0		10836427519	10386247159	10,3,8,6,2,4,7,1-5,9											
201247021502	ダ	右	1400	曇	不良	11:30	サラ系3歳3組		2012-2-15	19	笠松	3			4.0	980.0	3.0	4.0	160	4.0	3.0	100	1.0	2.0	100	2.0	3-4	270.0	1.0	3-4	310.0	2.0	4=>3	1170.0	5.0	4=>3	1500.0	5.0	2-3-4	210.0	1.0	4=>3=>2	3320.0	11.0		63984210157.0	34892106571.0	34210985761.0											
201247021503	ダ	右	1400	曇	不良	12:00	サラ系C16組		2012-2-15	19	笠松	3			3.0	310.0	2.0	3.0	160	3.0	6.0	130	2.0	9.0	560	6.0	3-6	520.0	3.0	3-6	480.0	3.0	3=>6	740.0	4.0	3=>6	860.0	4.0	3-6-9	2120.0	9.0	3=>6=>9	5710.0	18.0		37689410251	36897410251	3,6,9,8,7,4,2,10-1,5											
201247021504	ダ	右	1400	曇	不良	12:35	サラ系C12・15組		2012-2-15	19	笠松	3			10.0	1020.0	5.0	10.0	250	5.0	3.0	170	4.0	2.0	120	1.0	3-8	2450.0	10.0	3-10	2150.0	10.0	8=>3	5870.0	20.0	10=>3	6140.0	20.0	2-3-10	1490.0	6.0	10=>3=>2	18820.0	51.0		31087215469.0	31028714596.0	31082714596.0											
201247021505	ダ	右	1400	曇	不良	13:10	ポコ造ありがとう記念		2012-2-15	19	笠松	3			3.0	580.0	3.0	3.0	150	3.0	6.0	200	5.0	4.0	130	1.0	3-6	2800.0	8.0	3-6	3090.0	8.0	3=>6	4270.0	14.0	3=>6	5790.0	15.0	3-4-6	1080.0	3.0	3=>6=>4	13460.0	41.0		26718310459.0	62831105479.0	63821410597.0											
201247021506	ダ	右	1400	曇	不良	13:45	サラ系C10組		2012-2-15	19	笠松	3			5.0	110.0	1.0	5.0	100	1.0	8.0	100	2.0	2.0	130	3.0	5-7	110.0	1.0	5-8	110.0	1.0	5=>7	180.0	1.0	5=>8	170.0	1.0	2-5-8	600.0	2.0	5=>8=>2	840.0	3.0		2,5,7,8,6,4=3,1,9,10	2,5,7,8,6,4=3,1,9=10	5,2,8,7,6,4=1,3=9=10											
201247021507	ダ	右	1600	曇	不良	14:20	サラ系C9組		2012-2-15	19	笠松	3			6.0	1150.0	4.0	6.0	190	4.0	2.0	100	1.0	10.0	110	2.0	2-6	1540.0	5.0	2-6	1390.0	4.0	6=>2	5710.0	12.0	6=>2	7500.0	17.0	2-6-10	940.0	2.0	6=>2=>10	19790.0	48.0		16109237485.0	61019327485.0	61029374185.0											
201247021508	ダ	右	1400	曇	不良	14:55	如月賞		2012-2-15	19	笠松	3	(別定)		4.0	290.0	1.0	4.0	140	1.0	10.0	480	7.0	3.0	820	8.0	4-8	770.0	2.0	4-10	1470.0	6.0	4=>8	1050.0	2.0	4=>10	2070.0	7.0	3-4-10	11870.0	43.0	4=>10=>3	26380.0	88.0		31047162958.0	31074612985.0	31041762895.0											
201247021509	ダ	右	1600	曇	不良	15:30	初花月特別 		2012-2-15	19	笠松	3			5.0	290.0	2.0	5.0	100	1.0	9.0	120	3.0	4.0	120	2.0	5-8	350.0	2.0	5-9	360.0	1.0	5=>8	650.0	2.0	5=>9	600.0	1.0	4-5-9	250.0	1.0	5=>9=>4	1220.0	2.0		34185276910.0	34895176210.0	43895716102.0											
201247021601	ダ	右	800	曇	稍重	11:00	サラ系3歳8組		2012-2-16	19	笠松	4			4.0	140.0	1.0	4.0	100	1.0	8.0	220	5.0	7.0	2,650	10.0	4-7	530.0	3.0	4-8	510.0	2.0	4=>7	600.0	3.0	4=>8	810.0	3.0	4-7-8	17490.0	27.0	4=>8=>7	55450.0	81.0				48710269513.0											
201247021602	ダ	右	1400	曇	稍重	11:30	サラ系3歳7組		2012-2-16	19	笠松	4			9.0	220.0	1.0	9.0	100	1.0	3.0	110	3.0	2.0	100	2.0	3-8	350.0	2.0	3-9	330.0	1.0	8=>3	850.0	5.0	9=>3	550.0	2.0	2-3-9	150.0	1.0	9=>3=>2	970.0	3.0		39287611054.0	39286714105.0	39286714105.0											
201247021603	ダ	右	1400	曇	稍重	12:00	サラ系C18組		2012-2-16	19	笠松	4			5.0	140.0	1.0	5.0	100	1.0	8.0	110	2.0	4.0	460	7.0	5-7	180.0	1.0	5-8	190.0	1.0	5=>7	250.0	1.0	5=>8	240.0	1.0	4-5-8	7900.0	15.0	5=>8=>4	10710.0	26.0		36958102417.0	36958104217.0	56394810217.0											
201247021604	ダ	右	1400	曇	稍重	12:30	サラ系C17組		2012-2-16	19	笠松	4			8.0	460.0	2.0	8.0	150	3.0	5.0	100	1.0	6.0	170	4.0	5-7	280.0	1.0	5-8	250.0	1.0	7=>5	450.0	2.0	8=>5	540.0	2.0	5-6-8	500.0	2.0	8=>5=>6	1920.0	5.0		85642109371.0	85642103791.0	85624107931.0											
201247021605	ダ	右	1400	曇	稍重	13:05	サラ系C8組		2012-2-16	19	笠松	4			3.0	490.0	2.0	3.0	100	2.0	1.0	100	1.0	10.0	130	3.0	1-3	240.0	1.0	1-3	350.0	2.0	3=>1	950.0	5.0	3=>1	1300.0	6.0	1-3-10	340.0	1.0	3=>1=>10	3390.0	11.0		31471085269.0	31107485296.0	31104785926.0											
201247021606	ダ	右	1400	晴	稍重	13:35	サラ系C7組		2012-2-16	19	笠松	4			3.0	4950.0	8.0	3.0	430	7.0	2.0	100	1.0	4.0	110	2.0	2-3	2420.0	8.0	2-3	2820.0	8.0	3=>2	25370.0	24.0	3=>2	15600.0	27.0	2-3-4	6260.0	17.0	3=>2=>4	97100.0	148.0		36110294758.0	31061294857.0	31029164857.0											
201247021607	ダ	右	1600	晴	稍重	14:10	日本ベンダーネ		2012-2-16	19	笠松	4			6.0	300.0	2.0	6.0	160	3.0	5.0	210	5.0	1.0	120	1.0	5-6	3510.0	12.0	5-6	3590.0	16.0	6=>5	5190.0	18.0	6=>5	6860.0	26.0	1-5-6	5850.0	23.0	6=>5=>1	47400.0	149.0		56913102874.0	56910132784.0	56913102784.0											
201247021701	ダ	右	1400	曇	良	11:00	サラ系C22組牝馬		2012-2-17	19	笠松	5	牝		6.0	110.0	1.0	6.0	110	2.0	7.0	100	1.0	4.0	570	7.0	6-7	150.0	1.0	6-7	140.0	1.0	6=>7	250.0	1.0	6=>7	160.0	1.0	4-6-7	960.0	2.0	6=>7=>4	1160.0	3.0		6785924110.0	6784952110.0	6749825110.0											
201247021702	ダ	右	1400	曇	良	11:30	サラ系C21組		2012-2-17	19	笠松	5			6.0	150.0	1.0	6.0	130	2.0	3.0	150	3.0	2.0	200	4.0	3-6	510.0	2.0	3-6	430.0	2.0	6=>3	720.0	3.0	6=>3	710.0	3.0	2-3-6	1410.0	5.0	6=>3=>2	3680.0	11.0		36925810741.0	36295810714.0	36285910147.0											
201247021703	ダ	右	1400	曇	良	12:05	サラ系C20組		2012-2-17	19	笠松	5			1.0	230.0	2.0	1.0	100	1.0	6.0	100	2.0	8.0	200	6.0	1-6	160.0	1.0	1-6	140.0	1.0	1=>6	240.0	1.0	1=>6	260.0	1.0	1-6-8	720.0	4.0	1=>6=>8	2040.0	8.0		12681059743.0	12681045937.0	16821045397.0											
201247021704	ダ	右	1400	曇	良	12:40	サラ系C19組		2012-2-17	19	笠松	5			1.0	180.0	1.0	1.0	110	1.0	3.0	110	2.0	8.0	220	4.0	1-3	140.0	1.0	1-3	140.0	1.0	1=>3	180.0	1.0	1=>3	200.0	1.0	1-3-8	500.0	3.0	1=>3=>8	880.0	3.0		21896105734.0	21891053467.0	21839105467.0											
201247022701	ダ	右	1400	晴	良	11:00	サラ系C33組		2012-2-27	20	笠松	1			8.0	930.0	6.0	8.0	360	6.0	1.0	160	3.0	6.0	180	4.0	1-8	690.0	2.0	1-8	2130.0	14.0	8=>1	1860.0	13.0	8=>1	4780.0	29.0	1-6-8	2130.0	13.0	8=>1=>6	20120.0	109.0		148936752.0	184679352.0	186794325.0											
201247022702	ダ	右	1400	晴	良	11:30	サラ系C32組		2012-2-27	20	笠松	1			3.0	100.0	1.0	3.0	110	1.0	8.0	270	6.0	6.0	140	3.0	3-8	350.0	2.0	3-8	350.0	2.0	3=>8	380.0	2.0	3=>8	470.0	2.0	3-6-8	320.0	1.0	3=>8=>6	920.0	3.0		385697241.0	386579124.0	386579412.0											
201247022703	ダ	右	1400	晴	良	12:05	サラ系C31組		2012-2-27	20	笠松	1			2.0	170.0	1.0	2.0	100	1.0	1.0	110	2.0	8.0	130	4.0	1-2	270.0	1.0	1-2	270.0	1.0	2=>1	580.0	1.0	2=>1	440.0	1.0	1-2-8	260.0	1.0	2=>1=>8	730.0	1.0		281439567.0	281439756.0	218439567.0											
201247022704	ダ	右	1400	晴	良	12:40	伸也・智子結婚		2012-2-27	20	笠松	1			6.0	230.0	1.0	6.0	140	2.0	4.0	180	4.0	5.0	140	3.0	4-6	460.0	2.0	4-6	570.0	2.0	6=>4	980.0	3.0	6=>4	830.0	3.0	4-5-6	350.0	1.0	6=>4=>5	1610.0	5.0		456189372	456198372	4,6,5,9,1,7,8,3=2											
201247022705	ダ	右	800	晴	良	13:15	祝!かずまさ&ひろみ		2012-2-27	20	笠松	1			9.0	790.0	4.0	9.0	230	4.0	5.0	170	3.0	7.0	350	5.0	5-8	1380.0	5.0	5-9	1650.0	6.0	8=>5	2410.0	10.0	9=>5	2540.0	8.0	5-7-9	8190.0	23.0	9=>5=>7	69190.0	132.0				9,5,7,6,2,1,8,3-4											
201247022706	ダ	右	1400	晴	良	13:50	サラ系C29組		2012-2-27	20	笠松	1			6.0	110.0	1.0	6.0	100	1.0	5.0	160	3.0	8.0	620	8.0	5-6	300.0	2.0	5-6	280.0	2.0	6=>5	370.0	2.0	6=>5	380.0	2.0	5-6-8	3730.0	12.0	6=>5=>8	5200.0	17.0		621385497.0	562384197.0	652834917.0											
201247022707	ダ	右	1400	晴	良	14:25	サラ系C28組		2012-2-27	20	笠松	1			5.0	180.0	1.0	5.0	100	1.0	2.0	120	3.0	1.0	110	2.0	2-5	320.0	1.0	2-5	320.0	1.0	5=>2	690.0	1.0	5=>2	460.0	1.0	1-2-5	280.0	1.0	5=>2=>1	840.0	1.0		25143789.0	25413879.0	25143879.0											
201247022801	ダ	右	1400	晴	良	11:00	サラ系3歳6組		2012-2-28	20	笠松	2			9.0	920.0	4.0	9.0	210	4.0	8.0	300	5.0	1.0	120	1.0	7-8	2500.0	10.0	8-9	11400.0	16.0	8=>7	7500.0	21.0	9=>8	18270.0	32.0	1-8-9	6430.0	14.0	9=>8=>1	92000.0	117.0		12879103564.0	12879103546.0	12897651034.0											
201247022802	ダ	右	1400	晴	良	11:30	サラ系3歳5組		2012-2-28	20	笠松	2			5.0	270.0	2.0	5.0	110	3.0	1.0	100	2.0	4.0	100	1.0	1-5	310.0	1.0	1-5	330.0	2.0	5=>1	850.0	4.0	5=>1	730.0	3.0	1-4-5	270.0	1.0	5=>1=>4	1490.0	3.0		1453210976.0	1452310697.0	5142639107.0											
201247022803	ダ	右	1400	晴	良	12:05	古市美恵誕生日・狙え		2012-2-28	20	笠松	2			6.0	1060.0	4.0	6.0	130	3.0	2.0	100	2.0	8.0	100	1.0	2-6	790.0	3.0	2-6	760.0	4.0	6=>2	1610.0	9.0	6=>2	1710.0	8.0	2-6-8	420.0	2.0	6=>2=>8	2990.0	8.0		61021583497.0	61021584937.0	62101598437.0											
201247022804	ダ	右	1400	晴	良	12:40	一寿・奈緒美結婚記念		2012-2-28	20	笠松	2	牝		1.0	120.0	1.0	1.0	100	1.0	5.0	190	4.0	2.0	130	3.0	1-5	860.0	3.0	1-5	970.0	3.0	1=>5	900.0	4.0	1=>5	960.0	4.0	1-2-5	400.0	2.0	1=>5=>2	1910.0	6.0		289315674.0	528193674.0	512389674.0											
201247022805	ダ	右	1400	晴	良	13:15	梅酒のぱかぱか		2012-2-28	20	笠松	2			1.0	410.0	2.0	1.0	120	3.0	7.0	110	2.0	4.0	100	1.0	1-7	990.0	6.0	1-7	1000.0	5.0	1=>7	1300.0	9.0	1=>7	1620.0	10.0	1-4-7	410.0	2.0	1=>7=>4	2720.0	13.0		35614728910.0	35716428910.0	35714268910.0											
201247022806	ダ	右	1400	晴	良	13:50	サラ系C23組		2012-2-28	20	笠松	2			10.0	330.0	2.0	10.0	100	1.0	6.0	250	5.0	3.0	100	2.0	6-8	8630.0	14.0	6-10	11220.0	14.0	8=>6	12410.0	21.0	10=>6	14590.0	20.0	3-6-10	2000.0	6.0	10=>6=>3	14740.0	32.0		71035461289.0	71043652189.0	71046352189.0											
201247022807	ダ	右	1400	晴	良	14:15	サラ系C22組		2012-2-28	20	笠松	2			10.0	220.0	1.0	10.0	120	2.0	7.0	120	1.0	6.0	150	4.0	7-8	130.0	1.0	7-10	160.0	1.0	8=>7	320.0	2.0	10=>7	390.0	2.0	6-7-10	530.0	2.0	10=>7=>6	1590.0	3.0		71034685921.0	71068435921.0	71068439521.0											
201247022808	ダ	右	1400	晴	良	14:50	サラ系C21組		2012-2-28	20	笠松	2			5.0	120.0	1.0	5.0	120	2.0	8.0	110	1.0	2.0	230	4.0	5-8	210.0	1.0	5-8	240.0	1.0	5=>8	330.0	1.0	5=>8	260.0	1.0	2-5-8	560.0	3.0	5=>8=>2	1030.0	3.0		581762439.0	587162439.0	851267493.0											
201247022809	ダ	右	1400	晴	良	15:25	マックル賞		2012-2-28	20	笠松	2			3.0	250.0	2.0	3.0	100	1.0	9.0	110	2.0	4.0	130	3.0	3-8	300.0	1.0	3-9	270.0	1.0	3=>8	430.0	1.0	3=>9	530.0	1.0	3-4-9	330.0	1.0	3=>9=>4	1050.0	1.0		34971610285.0	39417610285.0	34918761025.0											
201247022901	ダ	右	1400	曇	不良	11:00	サラ系3歳3組		2012-2-29	20	笠松	3			1.0	620.0	3.0	1.0	180	2.0	5.0	210	3.0							1-5	2610.0	4.0				1=>5	5550.0	8.0	1-4-5	140.0	1.0	1=>5=>4	7090.0	13.0		1472653.0	1475263.0	1457632.0											
201247022902	ダ	右	1400	曇	不良	11:30	サラ系C7組		2012-2-29	20	笠松	3			1.0	160.0	1.0	1.0	100	1.0	4.0	350	5.0	3.0	170	3.0	1-4	850.0	4.0	1-4	1000.0	4.0	1=>4	1070.0	5.0	1=>4	1250.0	4.0	1-3-4	980.0	5.0	1=>4=>3	2720.0	7.0		10876914532.0	11087463925.0	14310978526.0											
201247022903	ダ	右	1400	曇	不良	12:05	サラ系C6組		2012-2-29	20	笠松	3			2.0	830.0	4.0	2.0	190	4.0	1.0	100	1.0	6.0	110	2.0	1-2	930.0	3.0	1-2	860.0	3.0	2=>1	1390.0	5.0	2=>1	1880.0	5.0	1-2-6	300.0	1.0	2=>1=>6	4560.0	13.0		31061258479	36101245879	3,6,2,1,5,4,10,8,7-9											
201247022904	ダ	右	1400	曇	不良	12:40	サラ系3歳1組特別 		2012-2-29	20	笠松	3			4.0	120.0	1.0	4.0	100	1.0	5.0	120	2.0							4-5	110.0	1.0				4=>5	170.0	1.0	1-4-5	1050.0	3.0	4=>5=>1	1250.0	4.0		245136	4,5,2-1,3,6	4,5,2-1,3-6											
201247022905	ダ	右	1400	曇	不良	13:15	サラ系B4組		2012-2-29	20	笠松	3			2.0	430.0	4.0	2.0	110	2.0	8.0	100	1.0	1.0	130	4.0	2-7	700.0	3.0	2-8	620.0	3.0	2=>7	1210.0	7.0	2=>8	1570.0	7.0	1-2-8	680.0	3.0	2=>8=>1	3990.0	17.0		26814107359.0	26814310795.0	28164731095.0											
201247022906	ダ	右	1600	晴	不良	13:50	サラ系C4組		2012-2-29	20	笠松	3			3.0	530.0	3.0	3.0	190	5.0	7.0	120	1.0	9.0	140	3.0	3-7	500.0	2.0	3-7	580.0	2.0	3=>7	840.0	5.0	3=>7	1370.0	5.0	3-7-9	400.0	1.0	3=>7=>9	2610.0	7.0		79324101586.0	79325104186.0	79310251486.0											
201247022907	ダ	右	1400	晴	不良	14:25	サラ系C5組		2012-2-29	20	笠松	3			5.0	150.0	1.0	5.0	100	1.0	7.0	150	4.0	3.0	110	2.0	5-7	430.0	3.0	5-7	960.0	4.0	5=>7	620.0	2.0	5=>7	1270.0	6.0	3-5-7	920.0	3.0	5=>7=>3	3640.0	13.0		38741095216	3,8,7,4,9,10,5,2-1,6	3,7,8,5,4,9,10,2=1,6											
201247022908	ダ	右	1400	晴	不良	15:00	紅梅賞		2012-2-29	20	笠松	3	(別定)		1.0	190.0	1.0	1.0	100	1.0	7.0	120	2.0	2.0	220	5.0	1-7	460.0	2.0	1-7	550.0	2.0	1=>7	730.0	3.0	1=>7	750.0	3.0	1-2-7	1850.0	6.0	1=>7=>2	5120.0	16.0		12534769108.0	12537694108.0	12567391048.0											
201247022909	ダ	右	1800	晴	不良	15:40	うぐいす特別 		2012-2-29	20	笠松	3	(別定)		10.0	470.0	3.0	10.0	120	1.0	8.0	150	4.0	3.0	140	3.0	7-8	390.0	1.0	8-10	740.0	3.0	8=>7	830.0	3.0	10=>8	1650.0	6.0	3-8-10	2420.0	11.0	10=>8=>3	16360.0	64.0		10145382976	10418395726	10,4,8,3,1,9,7,2-5-6											
201247030101	ダ	右	1400	晴	重	11:00	サラ系C17組		2012-3-1	20	笠松	4			5.0	620.0	3.0	5.0	360	4.0	1.0	500	5.0	4.0	180	2.0	1-5	5650.0	12.0	1-5	5480.0	12.0	5=>1	5090.0	17.0	5=>1	16610.0	24.0	1-4-5	3070.0	7.0	5=>1=>4	25150.0	49.0		152948673.0	152498673.0	152489637.0											
201247030102	ダ	右	1400	晴	重	11:35	サラ系C16組		2012-3-1	20	笠松	4			1.0	120.0	1.0	1.0	110	1.0	10.0	110	2.0	9.0	130	3.0	1-8	150.0	1.0	1-10	200.0	1.0	1=>8	200.0	1.0	1=>10	230.0	1.0	1-9-10	240.0	1.0	1=>10=>9	730.0	1.0		81016927345	81021697345	8,10,1,2,9,6,7,3,4=5											
201247030103	ダ	右	1400	晴	重	12:15	サラ系C12・15組		2012-3-1	20	笠松	4			3.0	140.0	1.0	3.0	100	1.0	6.0	110	3.0	1.0	100	2.0	3-6	260.0	2.0	3-6	210.0	1.0	3=>6	270.0	1.0	3=>6	240.0	1.0	1-3-6	160.0	1.0	3=>6=>1	560.0	1.0		36825101947.0	36812105947.0	36819102547.0											
201247030104	ダ	右	1400	晴	重	12:55	サラ系C11組		2012-3-1	20	笠松	4			10.0	1000.0	4.0	10.0	270	5.0	1.0	210	2.0	6.0	550	7.0	1-8	620.0	2.0	1-10	1170.0	3.0	8=>1	2290.0	7.0	10=>1	3170.0	10.0	1-6-10	5280.0	14.0	10=>1=>6	32330.0	75.0		11067439582.0	11064378952.0	11064378952.0											
201247030105	ダ	右	1400	晴	重	13:35	山田将康・明希結婚記		2012-3-1	20	笠松	4			5.0	310.0	3.0	5.0	120	2.0	3.0	100	1.0	9.0	530	7.0	3-5	380.0	1.0	3-5	390.0	2.0	5=>3	800.0	2.0	5=>3	760.0	4.0	3-5-9	2930.0	10.0	5=>3=>9	7660.0	30.0		35814961072.0	35819462107.0	35189426107.0											
201247030106	ダ	右	1600	晴	重	14:15	サラ系C8組		2012-3-1	20	笠松	4			10.0	390.0	2.0	10.0	100	1.0	8.0	100	2.0	5.0	340	6.0	7-8	120.0	1.0	8-10	120.0	1.0	8=>7	500.0	2.0	10=>8	450.0	2.0	5-8-10	1070.0	4.0	10=>8=>5	2620.0	8.0		81042567913.0	81042567913.0	81042567913.0											
